"","LINGISOL","HCOVANY","se","NoCoverage"
"Linguistically isolated","Linguistically isolated",0.578027013577398,0.00376381294712703,0.421972986422602
"Not linguistically isolated","Not linguistically isolated",0.732819299984962,0.00170656654061712,0.267180700015038
