"","Educational_Level","median_income_Asian/Pacific Islander Languages","median_income_English","median_income_Other Indo-European Languages","median_income_Other Languages","median_income_Spanish","se_median_income_Asian/Pacific Islander Languages","se_median_income_English","se_median_income_Other Indo-European Languages","se_median_income_Other Languages","se_median_income_Spanish"
"1","Bachelor's",59450,64855,70000,47230.7021276596,54046,1362.41824321581,104.847458948602,1141.49505903102,1723.93165575089,519.103579344493
"2","Doctoral",102239,100000,101154.615384615,81973.9047619048,81068,4196.67982525025,1492.3124838463,4620.74851567832,6719.61964793249,4290.64181798498
"3","High School or GED",28074.2986111111,30000,28705,28057,30000,793.126495099486,137.245486583358,652.883266706804,1161.29039527214,197.445025434735
"4","Master's",82850.0769230769,77826,103116,74634,68893,2017.91798998852,826.008251793913,1434.24374878615,4306.64702874112,513.166506413057
"5","No High School Degree or GED",31698.5212765957,20963,29904.8333333333,25000,28329,1638.23128348863,311.465064584213,1637.44364527268,2468.79224821325,179.836879693894
"6","No Schooling Completed",30018.1363636364,21618,30419.4117647059,33795.2432432432,30255,1540.72310281955,649.773706964575,2668.14164944193,5119.03253280221,834.30745913509
"7","Professional Degree Beyond Bachelor's",91102.275862069,120000,114617.833333333,124490.226666667,78325.0961538461,10855.424480583,2635.87492226232,4638.12064538404,17327.0680700212,3580.65494144986
"8","Some College, No Degree",30000,38000,34447,30000,32427,1123.23304141761,190.562789871546,1191.43650995063,1639.93284717776,190.812954943151
