"","Bilingual","No Schooling Completed","High School or GED","Some College, No Degree","Bachelor's","Master's","Professional Degree Beyond Bachelor's","Doctoral"
"1","Bilingual",25000,28057,31200,54046,76931,91857,90651
"2","Not Bilingual",18237,27280,35670,63000,72131,110803,95302
