"","Bilingual_Status","HCOVANY","se","NoCoverage"
"Bilingual","Bilingual",0.746882865796207,0.00155380060097361,0.253117134203793
"English Monolingual","English Monolingual",0.871780271188061,0.000723279200810823,0.128219728811939
"NE Monolingual","NE Monolingual",0.504193279136767,0.00325057105764139,0.495806720863233
