Geography,Geographic Area Name,Estimate!!Total!!All households,Margin of Error!!Total!!All households,Estimate!!Total!!All households!!Households speaking --!!Spanish,Margin of Error!!Total!!All households!!Households speaking --!!Spanish,Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Total!!All households!!Households speaking --!!Other languages,Margin of Error!!Total!!All households!!Households speaking --!!Other languages,Estimate!!Percent!!All households,Margin of Error!!Percent!!All households,Estimate!!Percent!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent!!All households!!Households speaking --!!Spanish,Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent!!All households!!Households speaking --!!Other languages,Estimate!!Limited English-speaking households!!All households,Margin of Error!!Limited English-speaking households!!All households,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages,Estimate!!Percent limited English-speaking households!!All households,Margin of Error!!Percent limited English-speaking households!!All households,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages,Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages,Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages
0500000US48437,"Swisher County, Texas",2401,137,822,132,0,21,1,2,4,8,(X),(X),34.2,4.7,0,2.1,0,0.1,0.2,0.3,78,53,77,53,0,21,1,2,0,21,3.2,2.2,9.4,6.4,-,**,100,100,0,100
0500000US48439,"Tarrant County, Texas",754969,2321,152508,2127,24807,1493,28025,1254,17210,1305,(X),(X),20.2,0.3,3.3,0.2,3.7,0.2,2.3,0.2,40506,1732,28418,1533,3486,508,6145,639,2457,479,5.4,0.2,18.6,1,14.1,1.9,21.9,2.3,14.3,2.6
0500000US48441,"Taylor County, Texas",53888,644,10554,654,895,246,1099,353,481,206,(X),(X),19.6,1.2,1.7,0.5,2,0.6,0.9,0.4,1384,294,904,222,153,122,117,61,210,156,2.6,0.5,8.6,2.1,17.1,12.8,10.6,6.1,43.7,22.1
0500000US48443,"Terrell County, Texas",436,110,198,78,0,15,0,15,0,15,(X),(X),45.4,12.2,0,10.8,0,10.8,0,10.8,9,13,9,13,0,15,0,15,0,15,2.1,2.9,4.5,6.4,-,**,-,**,-,**
0500000US48445,"Terry County, Texas",4170,201,1890,246,158,68,3,4,8,15,(X),(X),45.3,5.4,3.8,1.6,0.1,0.1,0.2,0.4,430,119,387,113,43,45,0,23,0,23,10.3,2.9,20.5,6.2,27.2,26.9,0,100,0,100
0500000US48447,"Throckmorton County, Texas",635,69,49,31,11,12,4,5,0,15,(X),(X),7.7,4.7,1.7,1.8,0.6,0.8,0,7.6,12,18,12,18,0,15,0,15,0,15,1.9,2.7,24.5,25.2,0,100,0,100,-,**
0500000US48449,"Titus County, Texas",10802,273,3330,278,94,77,77,26,0,31,(X),(X),30.8,2.4,0.9,0.7,0.7,0.2,0,0.5,770,181,715,174,0,31,55,40,0,31,7.1,1.7,21.5,4.8,0,37.9,71.4,43.6,-,**
0500000US48451,"Tom Green County, Texas",45449,634,13130,707,628,209,414,135,170,154,(X),(X),28.9,1.6,1.4,0.5,0.9,0.3,0.4,0.3,1616,339,1447,330,0,35,169,75,0,35,3.6,0.7,11,2.4,0,7.6,40.8,13.2,0,25.1
0500000US48453,"Travis County, Texas",538109,1698,112337,2099,22334,1110,23955,1231,8205,1017,(X),(X),20.9,0.4,4.2,0.2,4.5,0.2,1.5,0.2,27123,1523,19353,1298,1835,371,4701,625,1234,363,5,0.3,17.2,1.1,8.2,1.6,19.6,2.4,15,3.9
0500000US48455,"Trinity County, Texas",5946,281,590,124,87,68,24,17,0,23,(X),(X),9.9,1.9,1.5,1.1,0.4,0.3,0,0.8,190,106,190,106,0,23,0,23,0,23,3.2,1.7,32.2,15.2,0,39.4,0,75.1,-,**
0500000US48457,"Tyler County, Texas",6811,263,373,132,114,53,71,51,0,23,(X),(X),5.5,1.9,1.7,0.8,1,0.7,0,0.7,66,49,36,42,3,6,27,27,0,23,1,0.7,9.7,11.3,2.6,5.6,38,35.9,-,**
0500000US48459,"Upshur County, Texas",14969,294,765,170,57,46,95,56,0,31,(X),(X),5.1,1.1,0.4,0.3,0.6,0.4,0,0.3,103,82,73,77,0,31,30,29,0,31,0.7,0.5,9.5,9.5,0,48.7,31.6,44.8,-,**
0500000US48461,"Upton County, Texas",1363,84,642,80,0,15,9,11,0,15,(X),(X),47.1,5.4,0,3.6,0.7,0.8,0,3.6,84,41,84,41,0,15,0,15,0,15,6.2,2.9,13.1,6.4,-,**,0,100,-,**
0500000US48463,"Uvalde County, Texas",8420,344,4586,433,30,35,170,156,0,28,(X),(X),54.5,4.5,0.4,0.4,2,1.8,0,0.6,740,221,716,214,0,28,24,42,0,28,8.8,2.6,15.6,4.4,0,67.2,14.1,44.2,-,**
0500000US48465,"Val Verde County, Texas",16643,384,12215,509,57,43,96,73,0,31,(X),(X),73.4,2.6,0.3,0.3,0.6,0.4,0,0.3,2305,489,2305,489,0,31,0,31,0,31,13.8,2.9,18.9,3.8,0,48.7,0,37.5,-,**
0500000US48467,"Van Zandt County, Texas",22326,459,1902,291,188,113,39,36,13,18,(X),(X),8.5,1.3,0.8,0.5,0.2,0.2,0.1,0.1,305,142,301,143,0,35,4,6,0,35,1.4,0.6,15.8,7.4,0,23.1,10.3,19.6,0,100
0500000US48469,"Victoria County, Texas",34265,463,8859,577,340,140,318,94,67,56,(X),(X),25.9,1.6,1,0.4,0.9,0.3,0.2,0.2,869,232,768,228,0,35,90,66,11,21,2.5,0.7,8.7,2.5,0,13.6,28.3,20.2,16.4,28.6
0500000US48471,"Walker County, Texas",24592,539,2508,479,177,91,231,133,549,227,(X),(X),10.2,1.9,0.7,0.4,0.9,0.5,2.2,0.9,326,154,194,114,0,35,51,66,81,101,1.3,0.6,7.7,4.8,0,24.3,22.1,28.2,14.8,18.5
0500000US48473,"Waller County, Texas",17780,357,4468,515,208,125,168,92,25,37,(X),(X),25.1,2.9,1.2,0.7,0.9,0.5,0.1,0.2,1054,246,1023,237,5,8,26,36,0,35,5.9,1.4,22.9,5.4,2.4,4.2,15.5,18.5,0,73.6
0500000US48475,"Ward County, Texas",4264,183,2071,204,0,23,22,9,0,23,(X),(X),48.6,4.3,0,1.2,0.5,0.2,0,1.2,205,72,199,71,0,23,6,10,0,23,4.8,1.7,9.6,3.4,-,**,27.3,38.9,-,**
0500000US48477,"Washington County, Texas",14482,426,1644,235,156,113,57,49,0,31,(X),(X),11.4,1.6,1.1,0.8,0.4,0.3,0,0.3,258,175,234,161,0,31,24,41,0,31,1.8,1.2,14.2,9.4,0,26.9,42.1,51.8,-,**
0500000US48479,"Webb County, Texas",77797,684,71947,853,381,199,511,135,63,66,(X),(X),92.5,0.7,0.5,0.3,0.7,0.2,0.1,0.1,20834,1050,20763,1053,21,21,44,32,6,10,26.8,1.3,28.9,1.4,5.5,6.7,8.6,6.6,9.5,21
0500000US48481,"Wharton County, Texas",15148,364,3999,395,136,71,36,35,0,31,(X),(X),26.4,2.4,0.9,0.5,0.2,0.2,0,0.3,584,199,575,200,8,13,1,2,0,31,3.9,1.3,14.4,5,5.9,9.4,2.8,6.2,-,**
0500000US48483,"Wheeler County, Texas",1908,109,349,74,13,10,8,8,10,16,(X),(X),18.3,3.9,0.7,0.5,0.4,0.4,0.5,0.8,88,48,88,48,0,15,0,15,0,15,4.6,2.5,25.2,13.5,0,100,0,100,0,100
0500000US48485,"Wichita County, Texas",48604,561,5761,488,692,262,770,162,437,301,(X),(X),11.9,1,1.4,0.5,1.6,0.3,0.9,0.6,1455,365,1138,332,145,133,162,69,10,17,3,0.7,19.8,5.4,21,16.6,21,9.4,2.3,4.5
0500000US48487,"Wilbarger County, Texas",4626,259,803,167,8,9,105,57,0,23,(X),(X),17.4,3.4,0.2,0.2,2.3,1.2,0,1.1,131,78,131,78,0,23,0,23,0,23,2.8,1.7,16.3,9.6,0,100,0,35.6,-,**
0500000US48489,"Willacy County, Texas",5414,161,4296,188,0,28,0,28,0,28,(X),(X),79.3,3.2,0,0.9,0,0.9,0,0.9,698,151,698,151,0,28,0,28,0,28,12.9,2.9,16.2,3.6,-,**,-,**,-,**
0500000US48491,"Williamson County, Texas",229906,1123,37484,1246,11548,891,13365,802,2525,421,(X),(X),16.3,0.5,5,0.4,5.8,0.3,1.1,0.2,7206,611,3919,581,1069,265,1917,341,301,142,3.1,0.3,10.5,1.5,9.3,2.1,14.3,2.6,11.9,6
0500000US48493,"Wilson County, Texas",17345,291,4882,371,377,142,70,54,11,17,(X),(X),28.1,2,2.2,0.8,0.4,0.3,0.1,0.1,390,114,367,114,23,27,0,35,0,35,2.2,0.7,7.5,2.3,6.1,7.1,0,44,0,100
0500000US48495,"Winkler County, Texas",2685,124,1536,139,0,21,21,31,0,21,(X),(X),57.2,4.6,0,1.8,0.8,1.2,0,1.8,136,79,115,71,0,21,21,31,0,21,5.1,2.9,7.5,4.7,-,**,100,80.3,-,**
0500000US48497,"Wise County, Texas",24079,401,3223,301,188,103,342,216,19,19,(X),(X),13.4,1.2,0.8,0.4,1.4,0.9,0.1,0.1,708,250,686,252,0,35,16,18,6,10,2.9,1,21.3,7.3,0,23.1,4.7,6.9,31.6,45.4
0500000US48499,"Wood County, Texas",17824,464,1110,183,218,110,74,26,68,76,(X),(X),6.2,1,1.2,0.6,0.4,0.1,0.4,0.4,79,52,56,48,0,31,23,22,0,31,0.4,0.3,5,4.5,0,20.3,31.1,29.9,0,44.6
0500000US48501,"Yoakum County, Texas",2654,148,1518,146,159,92,0,21,0,21,(X),(X),57.2,4.2,6,3.4,0,1.9,0,1.9,384,140,377,140,7,12,0,21,0,21,14.5,5.3,24.8,9.6,4.4,8.2,-,**,-,**
0500000US48503,"Young County, Texas",7565,257,943,146,36,28,56,56,23,30,(X),(X),12.5,1.9,0.5,0.4,0.7,0.7,0.3,0.4,251,111,251,111,0,23,0,23,0,23,3.3,1.4,26.6,11.8,0,61.3,0,49.2,0,76.7
0500000US48505,"Zapata County, Texas",4580,261,4177,288,0,23,0,23,0,23,(X),(X),91.2,2.7,0,1.1,0,1.1,0,1.1,1165,233,1165,233,0,23,0,23,0,23,25.4,4.9,27.9,5.4,-,**,-,**,-,**
0500000US48507,"Zavala County, Texas",3427,136,3225,166,0,21,0,21,0,21,(X),(X),94.1,3,0,1.4,0,1.4,0,1.4,448,191,448,191,0,21,0,21,0,21,13.1,5.6,13.9,6.1,-,**,-,**,-,**
