Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!5 to 17 years:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak only English,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!18 years and over:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak only English,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!5 to 17 years:!!Speak other languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak only English,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Spanish,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other Indo-European languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak Asian and Pacific Island languages,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!18 years and over:!!Speak other languages
0500000US48449,"Titus County, Texas",28760,109,5011,645,1747,369,591,173,1156,387,0,31,0,31,0,31,3264,427,1923,255,1241,339,33,37,67,33,0,31,23749,677,4945,396,3100,277,1845,296,0,31,0,31,0,31,18804,444,12281,428,6239,474,98,118,186,54,0,31
0500000US48451,"Tom Green County, Texas",106109,278,11618,1395,2753,697,2281,556,472,325,0,35,0,35,0,35,8865,946,6285,695,2321,558,215,172,44,44,0,35,94491,1423,18033,742,15039,821,2866,726,61,71,67,80,0,35,76458,942,56338,1220,18671,1113,710,261,528,138,211,175
0500000US48453,"Travis County, Texas",1189349,531,131158,5427,25883,2407,11033,1330,13271,2053,333,244,361,242,885,731,105275,3769,65011,3097,30465,2418,2303,522,5458,1064,2038,855,1058191,5427,165037,2500,119400,3213,35191,2212,4083,718,4526,681,1837,581,893154,3738,639943,5853,173067,3855,33149,1966,34165,2010,12830,1888
0500000US48455,"Trinity County, Texas",12883,81,1792,415,458,174,412,157,46,43,0,23,0,23,0,23,1334,290,1097,263,137,102,84,100,16,21,0,23,11091,413,1550,173,1338,167,163,93,49,61,0,23,0,23,9541,287,8615,322,856,192,26,31,44,42,0,23
0500000US48457,"Tyler County, Texas",16991,113,3048,489,1006,259,961,228,35,51,10,15,0,23,0,23,2042,363,2005,362,13,18,24,22,0,23,0,23,13943,500,1944,273,1860,265,84,68,0,23,0,23,0,23,11999,374,11506,400,304,117,100,56,89,53,0,23
0500000US48459,"Upshur County, Texas",38258,91,5697,774,1387,367,1330,362,21,39,0,31,36,32,0,31,4310,544,4148,541,134,100,0,31,28,27,0,31,32561,797,5944,393,5552,449,392,237,0,31,0,31,0,31,26617,546,25294,662,1172,298,67,49,84,53,0,31
0500000US48461,"Upton County, Texas",3117,63,593,212,187,107,164,102,23,35,0,15,0,15,0,15,406,127,241,108,165,86,0,15,0,15,0,15,2524,240,601,137,488,133,113,74,0,15,0,15,0,15,1923,179,1059,146,847,118,0,15,17,23,0,15
0500000US48463,"Uvalde County, Texas",22322,87,5326,1043,1686,433,1228,453,458,249,0,28,0,28,0,28,3640,726,1421,377,2073,549,0,28,146,168,0,28,16996,1043,2979,440,1878,361,1034,313,42,62,25,41,0,28,14017,734,6819,649,7125,821,49,48,24,42,0,28
0500000US48465,"Val Verde County, Texas",42066,203,6586,1031,1496,408,616,303,880,344,0,31,0,31,0,31,5090,802,1610,410,3480,664,0,31,0,31,0,31,35480,1000,8068,424,4050,622,3991,671,27,37,0,31,0,31,27412,770,8096,693,19105,755,89,58,122,79,0,31
0500000US48467,"Van Zandt County, Texas",55650,219,7075,1032,1577,393,1350,378,218,109,0,35,9,16,0,35,5498,767,5027,711,442,177,16,18,13,18,0,35,48575,993,8297,400,7586,415,698,295,10,19,3,6,0,35,40278,767,36976,875,3007,436,247,137,35,37,13,18
0500000US48469,"Victoria County, Texas",83639,314,13465,1621,3490,759,2547,731,943,359,0,35,0,35,0,35,9975,1098,6602,896,3229,723,13,45,103,126,28,47,70174,1594,12761,768,10509,812,2103,666,0,35,149,112,0,35,57413,1089,43621,1340,12682,1035,400,160,638,156,72,70
0500000US48471,"Walker County, Texas",57848,166,10931,1309,1707,398,1102,294,562,261,25,29,18,30,0,35,9224,1148,7921,1074,1099,358,2,4,202,164,0,35,46917,1291,6028,410,5020,359,794,254,15,38,19,34,180,118,40889,1124,35659,1096,3557,624,291,152,388,383,994,309
0500000US48473,"Waller County, Texas",49439,169,6460,1083,1286,330,871,316,400,197,15,23,0,35,0,35,5174,955,4235,925,924,327,8,9,0,35,7,24,42979,1089,8437,330,6214,466,2036,355,104,131,30,61,53,75,34542,949,25694,1145,8166,667,250,160,333,171,99,144
0500000US48475,"Ward County, Texas",10368,37,1415,388,501,184,426,179,75,80,0,23,0,23,0,23,914,248,503,198,411,151,0,23,0,23,0,23,8953,389,1915,247,1638,269,252,163,0,23,25,17,0,23,7038,215,4210,298,2781,326,1,3,46,18,0,23
0500000US48477,"Washington County, Texas",31656,266,3609,812,713,322,591,306,122,135,0,31,0,31,0,31,2896,660,2666,638,206,172,0,31,24,41,0,31,28047,849,4953,377,4373,399,558,170,22,40,0,31,0,31,23094,669,20024,727,2828,340,195,148,46,46,1,3
0500000US48479,"Webb County, Texas",241883,211,49541,3163,17151,1712,1890,593,15095,1624,0,35,166,112,0,35,32390,1893,2194,477,29906,1815,45,57,245,149,0,35,192342,3150,45048,1763,9185,1299,35699,1896,97,129,67,52,0,35,147294,1888,14012,1083,132145,1980,416,243,557,229,164,112
0500000US48481,"Wharton County, Texas",38164,101,5469,898,1372,406,687,261,685,299,0,31,0,31,0,31,4097,641,2744,490,1323,412,20,29,10,17,0,31,32695,910,6427,429,4804,448,1572,362,51,45,0,31,0,31,26268,641,19726,834,6386,672,133,71,23,27,0,31
0500000US48483,"Wheeler County, Texas",4597,54,802,248,203,82,114,50,89,69,0,15,0,15,0,15,599,189,457,135,133,113,5,8,4,7,0,15,3795,271,719,109,588,105,131,83,0,15,0,15,0,15,3076,188,2557,162,480,118,8,9,13,16,18,19
0500000US48485,"Wichita County, Texas",109423,612,16732,1604,4185,970,3692,944,481,227,12,12,0,35,0,35,12547,1024,10385,841,1799,434,58,45,96,63,209,270,92691,1804,16791,907,15249,971,1131,219,78,58,243,130,90,78,75900,1243,66181,1179,7005,565,991,357,1356,241,367,202
0500000US48487,"Wilbarger County, Texas",11358,271,2166,432,682,205,479,191,203,216,0,23,0,23,0,23,1484,297,1147,254,334,164,3,7,0,23,0,23,9192,466,1327,307,1057,241,183,127,0,23,87,141,0,23,7865,291,6427,290,1268,232,6,9,164,57,0,23
0500000US48489,"Willacy County, Texas",17685,145,4659,778,1142,277,481,198,661,206,0,28,0,28,0,28,3517,607,1098,344,2416,563,0,28,3,2,0,28,13026,831,2365,347,1582,316,783,300,0,28,0,28,0,28,10661,603,3407,534,7254,629,0,28,0,28,0,28
0500000US48491,"Williamson County, Texas",575434,386,36195,2368,7775,1216,5228,1043,1892,567,216,170,137,117,302,223,28420,1862,19087,1449,6300,901,841,332,1542,672,650,385,539239,2349,105973,1188,86978,1708,11082,1202,2980,539,4286,613,647,211,433266,1858,326429,3399,61074,2293,18682,1480,22322,1286,4759,970
0500000US48493,"Wilson County, Texas",46923,111,4842,1029,1132,426,845,381,263,182,24,36,0,35,0,35,3710,736,2431,499,1248,472,12,16,19,32,0,35,42081,1063,7814,460,6668,477,1130,280,16,25,0,35,0,35,34267,735,26703,816,7023,676,434,158,100,88,7,9
0500000US48495,"Winkler County, Texas",6979,6,904,319,372,185,345,187,27,43,0,21,0,21,0,21,532,183,216,76,316,165,0,21,0,21,0,21,6075,320,1293,174,881,199,412,186,0,21,0,21,0,21,4782,187,2256,184,2483,240,0,21,43,63,0,21
0500000US48497,"Wise County, Texas",64714,216,5852,1067,1595,558,1354,544,225,117,5,7,11,18,0,35,4257,664,3737,582,517,226,0,35,3,5,0,35,58862,1066,11113,554,9072,501,2003,379,21,24,17,22,0,35,47749,667,39898,706,7112,445,390,197,330,200,19,19
0500000US48499,"Wood County, Texas",41587,101,5289,812,1007,318,857,265,150,153,0,31,0,31,0,31,4282,646,3787,586,360,256,120,123,15,24,0,31,36298,805,5358,319,4838,365,397,158,28,44,8,19,87,118,30940,646,28524,592,1937,331,238,142,131,61,110,111
0500000US48501,"Yoakum County, Texas",6931,29,874,419,338,207,50,69,255,172,33,49,0,21,0,21,536,260,161,68,338,229,37,58,0,21,0,21,6057,418,1449,207,838,299,540,230,71,71,0,21,0,21,4608,260,1584,186,2801,268,223,169,0,21,0,21
0500000US48503,"Young County, Texas",16622,34,2457,729,824,458,659,353,165,212,0,23,0,23,0,23,1633,344,1423,306,187,103,0,23,0,23,23,30,14165,734,2440,448,2013,388,406,222,0,23,21,32,0,23,11725,374,10040,394,1563,203,36,28,86,103,0,23
0500000US48505,"Zapata County, Texas",12621,50,4443,746,1735,336,291,216,1444,309,0,23,0,23,0,23,2708,516,252,154,2456,467,0,23,0,23,0,23,8178,754,1643,341,583,256,1060,357,0,23,0,23,0,23,6535,517,682,208,5853,492,0,23,0,23,0,23
0500000US48507,"Zavala County, Texas",8937,29,2690,559,1249,249,961,391,288,343,0,21,0,21,0,21,1441,401,285,156,1156,346,0,21,0,21,0,21,6247,558,901,263,555,241,346,175,0,21,0,21,0,21,5346,400,774,261,4572,459,0,21,0,21,0,21
