"","Geographic.Area.Name","Total..Estimate..Population.5.years.and.over","NonEnglish_Language_Estimate","Percent_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual"
"245","Wilbarger County, Texas",12491,0.145,"52.5",51.4,35.8,100,0,1694,53,62,0,871,19,62,0
"246","Willacy County, Texas",20450,0.476,"58.3",58.5,0,78.8,0,9522,98,41,82,5570,0,32,0
"247","Williamson County, Texas",392866,0.202,"67.4",65.8,61.7,78.5,21,56096,10218,11000,1837,36911,6305,8635,386
"248","Wilson County, Texas",40372,0.233,"71.5",72.3,40,66.6,53.8,8813,145,404,13,6372,58,269,7
"249","Winkler County, Texas",6517,0.43,"59.3",59.1,74.1,100,0,2772,27,7,0,1638,20,7,0
"250","Wise County, Texas",55416,0.141,"59.6",59.2,50,73.7,48.8,7455,60,277,43,4413,30,204,21
"251","Wood County, Texas",39751,0.07,"50.9",49.6,44.6,79.3,0,2452,175,119,8,1216,78,94,0
"252","Yoakum County, Texas",7178,0.519,"38.5",38.7,23.5,38.1,0,3543,34,144,0,1371,8,55,0
"253","Young County, Texas",17148,0.123,"41.2",40.8,0,100,100,2035,8,34,23,830,0,34,23
"254","Zapata County, Texas",12432,0.867,"55.6",55.6,0,100,0,10783,0,0,0,5995,0,0,0
"255","Zavala County, Texas",10679,0.771,"59.1",59.1,0,0,0,8232,0,0,0,4865,0,0,0
