"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"67","Duval",9291,4477,0,39,0,0.482,0,0.004,0,"South Texas","Rural"
"68","Eastland",16824,1368,109,66,1,0.081,0.006,0.004,0,"Northwest","Rural"
"69","Ector",148224,47736,737,665,907,0.322,0.005,0.004,0.006,"West Texas","Urban"
"70","Edwards",1335,453,0,0,0,0.339,0,0,0,"South Texas","Rural"
"71","Ellis",182937,20512,386,1031,697,0.112,0.002,0.006,0.004,"Metroplex","Urban"
"72","El Paso",803798,315836,4248,4994,1450,0.393,0.005,0.006,0.002,"Upper Rio Grande","Urban"
"73","Erath",40308,3332,175,535,27,0.083,0.004,0.013,0.001,"Metroplex","Rural"
"74","Falls",16158,1148,0,217,151,0.071,0,0.013,0.009,"Central Texas","Urban"
"75","Fannin",34259,2117,43,119,40,0.062,0.001,0.003,0.001,"Metroplex","Rural"
"76","Fayette",23381,2886,48,341,0,0.123,0.002,0.015,0,"Capitol","Rural"
"77","Fisher",3444,390,0,12,0,0.113,0,0.003,0,"Northwest","Rural"
"78","Floyd",5047,1368,16,23,0,0.271,0.003,0.005,0,"High Plains","Rural"
"79","Foard",1031,29,1,0,0,0.028,0.001,0,0,"Northwest","Rural"
"80","Fort Bend",779814,90526,51208,48703,25642,0.116,0.066,0.062,0.033,"Gulf Coast","Urban"
"81","Franklin",9682,783,15,72,0,0.081,0.002,0.007,0,"Upper East","Rural"
"82","Freestone",18564,1499,13,58,13,0.081,0.001,0.003,0.001,"Central Texas","Rural"
"83","Frio",17037,5182,22,84,11,0.304,0.001,0.005,0.001,"Alamo","Rural"
"84","Gaines",19353,3017,59,2797,34,0.156,0.003,0.145,0.002,"West Texas","Rural"
"85","Galveston",330121,36118,4880,4963,884,0.109,0.015,0.015,0.003,"Gulf Coast","Urban"
"86","Garza",5570,896,22,0,6,0.161,0.004,0,0.001,"High Plains","Urban"
"87","Gillespie",25686,1836,41,487,0,0.071,0.002,0.019,0,"Alamo","Rural"
"88","Glasscock",992,96,0,28,46,0.097,0,0.028,0.046,"West Texas","Rural"
"89","Goliad",6842,871,3,110,0,0.127,0,0.016,0,"Alamo","Urban"
"90","Gonzales",18342,2923,41,38,15,0.159,0.002,0.002,0.001,"Alamo","Rural"
"91","Gray",19934,2355,43,20,2,0.118,0.002,0.001,0,"High Plains","Rural"
"92","Grayson",128586,7870,420,1125,151,0.061,0.003,0.009,0.001,"Metroplex","Urban"
"93","Gregg",116013,11890,774,607,257,0.102,0.007,0.005,0.002,"Upper East","Urban"
"94","Grimes",27851,3377,24,197,13,0.121,0.001,0.007,0,"Central Texas","Rural"
"95","Guadalupe",163666,23066,1148,1436,87,0.141,0.007,0.009,0.001,"Alamo","Urban"
"96","Hale",30506,8228,29,135,15,0.27,0.001,0.004,0,"High Plains","Rural"
"97","Hall",2723,544,4,0,0,0.2,0.001,0,0,"High Plains","Rural"
"98","Hamilton",7825,484,1,90,0,0.062,0,0.012,0,"Central Texas","Rural"
"99","Hansford",4888,986,0,0,0,0.202,0,0,0,"High Plains","Rural"
"100","Hardeman",3359,194,20,29,41,0.058,0.006,0.009,0.012,"Northwest","Rural"
"101","Hardin",53152,1190,65,157,0,0.022,0.001,0.003,0,"Southeast","Urban"
"102","Harris",4393352,843288,102753,107171,52639,0.192,0.023,0.024,0.012,"Gulf Coast","Urban"
"103","Harrison",65115,3511,137,152,133,0.054,0.002,0.002,0.002,"Upper East","Urban"
"104","Hartley",5077,586,2,100,0,0.115,0,0.02,0,"High Plains","Rural"
"105","Haskell",5196,640,4,3,0,0.123,0.001,0.001,0,"Northwest","Rural"
"106","Hays",230886,37574,1488,2904,401,0.163,0.006,0.013,0.002,"Capitol","Urban"
"107","Hemphill",3206,657,0,34,0,0.205,0,0.011,0,"High Plains","Rural"
"108","Henderson",78093,5071,151,262,5,0.065,0.002,0.003,0,"Upper East","Rural"
"109","Hidalgo",801757,405071,3632,2158,470,0.505,0.005,0.003,0.001,"South Texas","Urban"
"110","Hill",34081,3237,63,133,10,0.095,0.002,0.004,0,"Central Texas","Rural"
"111","Hockley",19988,4331,7,102,34,0.217,0,0.005,0.002,"High Plains","Urban"
"112","Hood",59244,3012,40,335,10,0.051,0.001,0.006,0,"Metroplex","Rural"
"113","Hopkins",34744,3108,65,254,8,0.089,0.002,0.007,0,"Upper East","Rural"
"114","Houston",21034,1329,70,20,21,0.063,0.003,0.001,0.001,"Southeast","Rural"
"115","Howard",32466,5704,138,169,72,0.176,0.004,0.005,0.002,"West Texas","Rural"
"116","Hudspeth",3204,1055,16,2,0,0.329,0.005,0.001,0,"Upper Rio Grande","Urban"
"117","Hunt",95291,6922,434,539,135,0.073,0.005,0.006,0.001,"Metroplex","Urban"
"118","Hutchinson",19379,2152,18,20,1,0.111,0.001,0.001,0,"High Plains","Rural"
"119","Irion",1515,307,0,0,0,0.203,0,0,0,"West Texas","Urban"
"120","Jack",8152,438,39,11,39,0.054,0.005,0.001,0.005,"Northwest","Rural"
"121","Jackson",14019,1641,29,79,0,0.117,0.002,0.006,0,"Alamo","Rural"
"122","Jasper",31087,640,82,179,2,0.021,0.003,0.006,0,"Southeast","Rural"
"123","Jeff Davis",1858,172,0,8,18,0.093,0,0.004,0.01,"Upper Rio Grande","Rural"
"124","Jefferson",237822,26146,3498,2483,444,0.11,0.015,0.01,0.002,"Southeast","Urban"
"125","Jim Hogg",4081,2176,53,0,0,0.533,0.013,0,0,"South Texas","Rural"
"126","Jim Wells",36397,13629,45,165,226,0.374,0.001,0.005,0.006,"South Texas","Rural"
"127","Johnson",171171,14904,982,569,457,0.087,0.006,0.003,0.003,"Metroplex","Urban"
