"","Region","Total_Spanish_Bilangual","Total_Asian_Pacific_Bilangual","Total_IndoEuro_Bilangual","Total_Other_Bilangual","Total_Population_5_Years_Over","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"1","Alamo",318397.874009646,14748.0062199405,14407.7600367896,5473.54504501829,1339371.19769152,0.238,0.011,0.011,0.004
"2","Capitol",105014.230977918,20577.9624110601,21893.3077161923,8094.10245014455,824331.672522314,0.127,0.025,0.027,0.01
"3","Central Texas",19502.8961481103,2900.7614597135,3078.21289751975,953.558475201354,202792.607146465,0.096,0.014,0.015,0.005
"4","Gulf Coast",564396.876077565,73405.0764060928,75959.9178608669,37251.9941420798,3006329.85994667,0.188,0.024,0.025,0.012
"5","High Plains",19357.1621962554,1497.13033169213,992.898898885308,837.163973640393,146386.328802647,0.132,0.01,0.007,0.006
"6","Metroplex",234805.282842614,39513.3167269646,37914.617173096,21551.7135410978,1546632.82358556,0.152,0.026,0.025,0.014
"7","Northwest",6429.78920368585,654.865531053218,540.830589299136,280.133255530416,70805.0236538904,0.091,0.009,0.008,0.004
"8","South Texas",206289.216590347,2037.36256904498,1348.46554018208,322.394664841761,440507.057267476,0.468,0.005,0.003,0.001
"9","Southeast",11018.0007685884,1259.27111644738,987.724115534765,231.846658994631,113078.969090282,0.097,0.011,0.009,0.002
"10","State",4833485,493012,494041,223655,27319920,0.177,0.018,0.018,0.008
"11","Upper East",7302.24765072788,445.948638891473,447.4048301827,277.838260640469,92215.7498988991,0.079,0.005,0.005,0.003
"12","Upper Rio Grande",307505.640064626,4136.52264326443,4862.29920574172,1412.16505505792,782658.955912489,0.393,0.005,0.006,0.002
"13","West Texas",24932.8805562688,588.404416634006,664.85222926493,565.580098793129,103164.575426054,0.242,0.006,0.006,0.005
