"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"60","Deaf Smith County, Texas",16996,9502,9464,13,18,7,6876,0,18,7,0.727,0,1,1
"61","Delta County, Texas",4887,138,119,10,9,0,71,10,9,0,0.597,1,1,0
"62","Denton County, Texas",861332,201946,110530,50040,31305,10071,70799,30453,24431,8690,0.641,0.609,0.78,0.863
"63","DeWitt County, Texas",18584,3133,2932,80,114,7,2105,43,110,0,0.718,0.537,0.965,0
"64","Dickens County, Texas",1462,235,223,1,11,0,168,0,11,0,0.753,0,1,0
"65","Dimmit County, Texas",8115,4735,4634,49,16,36,3154,46,7,36,0.681,0.939,0.438,1
"66","Donley County, Texas",3171,207,155,22,29,1,99,22,29,1,0.639,1,1,1
"67","Duval County, Texas",9291,5274,5235,0,39,0,4477,0,39,0,0.855,0,1,0
"68","Eastland County, Texas",16824,2041,1853,120,66,2,1368,109,66,1,0.738,0.908,1,0.5
"69","Ector County, Texas",148224,71131,68241,1050,861,979,47736,737,665,907,0.7,0.702,0.772,0.926
"70","Edwards County, Texas",1335,560,560,0,0,0,453,0,0,0,0.809,0,0,0
"71","Ellis County, Texas",182937,34491,31785,626,1164,916,20512,386,1031,697,0.645,0.617,0.886,0.761
"72","El Paso County, Texas",803798,556832,541274,6958,6452,2148,315836,4248,4994,1450,0.584,0.611,0.774,0.675
"73","Erath County, Texas",40308,6740,5823,334,556,27,3332,175,535,27,0.572,0.524,0.962,1
"74","Falls County, Texas",16158,2499,2042,0,286,171,1148,0,217,151,0.562,0,0.759,0.883
"75","Fannin County, Texas",34259,3575,3273,92,170,40,2117,43,119,40,0.647,0.467,0.7,1
"76","Fayette County, Texas",23381,4192,3754,48,390,0,2886,48,341,0,0.769,1,0.874,0
"77","Fisher County, Texas",3444,568,547,9,12,0,390,0,12,0,0.713,0,1,0
"78","Floyd County, Texas",5047,1980,1941,16,23,0,1368,16,23,0,0.705,1,1,0
"79","Foard County, Texas",1031,48,46,2,0,0,29,1,0,0,0.63,0.5,0,0
"80","Fort Bend County, Texas",779814,316206,134762,87000,64458,29986,90526,51208,48703,25642,0.672,0.589,0.756,0.855
"81","Franklin County, Texas",9682,1233,1124,15,94,0,783,15,72,0,0.697,1,0.766,0
"82","Freestone County, Texas",18564,2122,2030,21,58,13,1499,13,58,13,0.738,0.619,1,1
