"","Rural_Urban_Stat","Spanish","Asian_Pacific_Island_Languages","Other_Indo_European_Language","Other_Language"
"1","Rural",0.900000000000001,0.1,-0.1,0.2
"2","Urban",1.2,0.4,0.4,0.8
