"","Geographic.Area.Name","Total..Estimate..Population.5.years.and.over","NonEnglish_Language_Estimate","Percent_Bilangual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"40","Clay County, Texas",10128,0.03,0.741,69.6,100,89.1,0,237,4,61,0,97,165,4,54,0,0.016,0,0.005,0
"41","Cochran County, Texas",2845,0.417,0.576,59.5,50,17.3,0,1133,2,51,0,58.3,674,1,9,0,0.237,0,0.003,0
"42","Coke County, Texas",3134,0.137,0.818,81.6,0,100,0,425,0,3,0,86.3,347,0,3,0,0.111,0,0.001,0
"43","Coleman County, Texas",8235,0.048,0.711,67.9,100,100,0,355,4,33,0,95.2,241,4,33,0,0.029,0,0.004,0
"44","Collin County, Texas",730066,0.249,0.626,57.6,60.1,71.5,23.4,80577,49457,40154,11967,75.1,46412,29724,28710,2800,0.064,0.041,0.039,0.004
"45","Collingsworth County, Texas",2783,0.263,0.619,63.1,100,31.8,70,678,13,22,20,73.7,428,13,7,14,0.154,0.005,0.003,0.005
"46","Colorado County, Texas",19563,0.214,0.68,68,24.4,79.4,0,3743,90,352,0,78.6,2545,22,279,0,0.13,0.001,0.014,0
"47","Comal County, Texas",102769,0.177,0.729,70.3,71.7,89.3,13.4,15140,612,2364,97,82.3,10643,439,2111,13,0.104,0.004,0.021,0
"48","Comanche County, Texas",12969,0.199,0.593,58.3,100,86.3,0,2500,11,78,0,80.1,1458,11,67,0,0.112,0.001,0.005,0
"49","Concho County, Texas",3906,0.413,0.329,31.7,100,81.3,0,1582,15,16,0,58.7,501,15,13,0,0.128,0.004,0.003,0
"50","Cooke County, Texas",35725,0.141,0.581,57,47,87.9,13.6,4639,168,179,44,85.9,2644,79,157,6,0.074,0.002,0.004,0
"51","Coryell County, Texas",69473,0.146,0.745,75.9,58,79.7,30.1,6826,1168,1945,143,85.4,5181,677,1550,43,0.075,0.01,0.022,0.001
