"","Geographic.Area.Name","Total..Estimate..Population.5.years.and.over","NonEnglish_Language_Estimate","Percent_Bilangual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Estimate","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"169","Mitchell County, Texas",8834,0.269,0.716,71.3,64.2,100,0,2279,53,44,0,73.1,1625,34,44,0,0.184,0.004,0.005,0
"170","Montague County, Texas",18478,0.087,0.719,69.6,95.2,95.1,0,1469,21,111,16,91.3,1022,20,106,0,0.055,0.001,0.006,0
"171","Montgomery County, Texas",424918,0.189,0.563,52.9,63,83,26.2,67133,5459,6374,1261,81.1,35513,3439,5290,330,0.084,0.008,0.012,0.001
"172","Moore County, Texas",19732,0.518,0.563,60.4,11.9,88.8,69.2,8790,901,316,211,48.2,5309,107,281,146,0.269,0.005,0.014,0.007
"173","Morris County, Texas",12097,0.068,0.564,56.1,0,72.7,31.4,772,6,12,35,93.2,433,0,9,11,0.036,0,0.001,0.001
"174","Motley County, Texas",1113,0.1,0.739,73.6,100,0,0,110,1,0,0,90,81,1,0,0,0.073,0.001,0,0
"175","Nacogdoches County, Texas",60161,0.16,0.55,54.7,53.2,72.6,59.8,8653,588,301,107,84,4733,313,219,64,0.079,0.005,0.004,0.001
"176","Navarro County, Texas",44229,0.203,0.477,46,72.5,77.8,0,8478,211,310,2,79.7,3900,153,241,0,0.088,0.003,0.005,0
"177","Newton County, Texas",13572,0.045,0.579,54.1,41.1,80.2,0,379,107,95,24,95.5,205,44,76,0,0.015,0.003,0.006,0
"178","Nolan County, Texas",14025,0.217,0.735,73.9,100,65.1,100,2985,7,42,14,78.3,2206,7,27,14,0.157,0,0.002,0.001
"179","Nueces County, Texas",316598,0.407,0.698,69.9,57.1,78.4,12.4,121095,3807,3483,588,59.3,84645,2174,2731,73,0.267,0.007,0.009,0
"180","Ochiltree County, Texas",9346,0.417,0.53,52.9,50,100,0,3875,12,9,0,58.3,2050,6,9,0,0.219,0.001,0.001,0
"181","Oldham County, Texas",1934,0.08,0.747,77,0,100,0,135,8,12,0,92,104,0,12,0,0.054,0,0.006,0
"182","Orange County, Texas",76962,0.058,0.672,66.5,48.3,85.2,56.2,2839,654,847,73,94.2,1888,316,722,41,0.025,0.004,0.009,0.001
"183","Palo Pinto County, Texas",26099,0.126,0.42,38.9,17.2,84.5,60,2965,58,261,10,87.4,1153,10,221,6,0.044,0,0.008,0
"184","Panola County, Texas",22284,0.06,0.473,45.6,68.3,100,0,1270,41,22,0,94,579,28,22,0,0.026,0.001,0.001,0
"185","Parker County, Texas",109648,0.086,0.616,58.5,71.7,77.6,8.2,7968,350,768,281,91.4,4661,251,596,23,0.043,0.002,0.005,0
"186","Parmer County, Texas",9323,0.498,0.52,51.8,0,90.9,0,4602,5,37,0,50.2,2384,0,34,0,0.256,0,0.004,0
"187","Pecos County, Texas",14309,0.539,0.678,68.3,0,12.5,0,7651,0,57,0,46.1,5226,0,7,0,0.365,0,0,0
"188","Polk County, Texas",42991,0.134,0.609,59.4,24.7,76.3,23.3,4988,81,430,266,86.6,2963,20,328,62,0.069,0,0.008,0.001
"189","Potter County, Texas",110844,0.296,0.591,62.1,36,77.7,58.5,27516,3754,887,650,70.4,17087,1351,689,380,0.154,0.012,0.006,0.003
"190","Presidio County, Texas",7058,0.866,0.627,62.2,100,100,0,6018,1,92,0,13.4,3743,1,92,0,0.53,0,0.013,0
"191","Rains County, Texas",10469,0.077,0.801,81.3,100,41.4,44.4,750,23,31,9,92.3,610,23,13,4,0.058,0.002,0.001,0
"192","Randall County, Texas",112903,0.109,0.693,74.7,43.4,67.3,60.1,9398,1155,1129,646,89.1,7020,501,760,388,0.062,0.004,0.007,0.003
"193","Reagan County, Texas",3161,0.509,0.574,57.3,0,0,0,1605,0,0,5,49.1,920,0,0,0,0.291,0,0,0
"194","Real County, Texas",3182,0.164,0.751,76,0,0,0,517,6,0,0,83.6,393,0,0,0,0.124,0,0,0
"195","Red River County, Texas",12091,0.056,0.436,39.8,100,65.2,42.1,580,8,73,19,94.4,231,8,48,8,0.019,0.001,0.004,0.001
"196","Reeves County, Texas",12659,0.642,0.587,58.7,25,78.4,100,8017,32,76,7,35.8,4706,8,60,7,0.372,0.001,0.005,0.001
"197","Refugio County, Texas",6921,0.274,0.73,74.9,80.8,10.3,0,1811,26,55,3,72.6,1356,21,6,0,0.196,0.003,0.001,0
"198","Roberts County, Texas",919,0.039,0.889,78.9,100,100,0,19,5,12,0,96.1,15,5,12,0,0.016,0.005,0.013,0
"199","Robertson County, Texas",15449,0.163,0.609,59.8,68.9,97.5,100,2246,106,124,50,83.7,1343,73,121,50,0.087,0.005,0.008,0.003
"200","Rockwall County, Texas",73219,0.157,0.625,60.1,54.5,77.1,17,8648,1087,1318,459,84.3,5197,592,1016,78,0.071,0.008,0.014,0.001
"201","Runnels County, Texas",9814,0.153,0.624,63.8,25.8,37.5,0,1438,31,29,0,84.7,917,8,11,0,0.093,0.001,0.001,0
"202","Rusk County, Texas",49774,0.126,0.67,66.5,63.5,87.5,0,5914,211,149,9,87.4,3933,134,130,0,0.079,0.003,0.003,0
"203","Sabine County, Texas",10176,0.048,0.727,68.3,0,100,0,419,0,71,0,95.2,286,0,71,0,0.028,0,0.007,0
"204","San Augustine County, Texas",8384,0.051,0.545,48.8,0,78.6,0,338,2,84,0,94.9,165,0,66,0,0.02,0,0.008,0
"205","San Jacinto County, Texas",24864,0.078,0.492,44.9,67.3,100,0,1767,52,124,0,92.2,793,35,124,0,0.032,0.001,0.005,0
"206","San Patricio County, Texas",60589,0.352,0.701,70,63.6,77.4,0,20649,280,364,29,64.8,14454,178,282,0,0.239,0.003,0.005,0
"207","San Saba County, Texas",5757,0.231,0.682,66.8,100,100,0,1273,15,40,0,76.9,850,15,40,0,0.148,0.003,0.007,0
"208","Schleicher County, Texas",3064,0.318,0.77,77.2,0,0,0,970,0,3,0,68.2,749,0,0,0,0.244,0,0,0
"209","Scurry County, Texas",15600,0.272,0.688,68.8,17.6,100,0,4162,34,47,10,72.8,2863,6,47,0,0.184,0,0.003,0
"210","Shackelford County, Texas",3168,0.103,0.655,65,0,100,0,320,0,6,0,89.7,208,0,6,0,0.066,0,0.002,0
"211","Shelby County, Texas",23669,0.15,0.519,50.2,68.4,58,0,3352,76,47,83,85,1683,52,27,0,0.071,0.002,0.001,0
"212","Sherman County, Texas",2844,0.341,0.594,59.6,100,20,0,955,6,11,0,65.9,569,6,2,0,0.2,0.002,0.001,0
"213","Smith County, Texas",194768,0.161,0.566,54.8,56.7,85.3,37.2,27764,1644,1753,250,83.9,15215,932,1495,93,0.078,0.005,0.008,0
"214","Somervell County, Texas",7928,0.171,0.543,53.1,100,100,0,1323,14,24,0,82.9,703,14,24,0,0.089,0.002,0.003,0
"215","Starr County, Texas",55162,0.954,0.516,51.5,94.1,90.5,0,52572,17,55,0,4.6,27075,16,50,0,0.491,0,0.001,0
"216","Stephens County, Texas",8950,0.147,0.491,47.7,75.6,100,0,1263,45,9,0,85.3,602,34,9,0,0.067,0.004,0.001,0
"217","Sterling County, Texas",1139,0.264,0.542,53.7,0,100,0,298,0,3,0,73.6,160,0,3,0,0.14,0,0.003,0
"218","Stonewall County, Texas",1367,0.086,0.615,62.1,0,94.7,100,87,0,19,11,91.4,54,0,18,11,0.04,0,0.013,0.008
"219","Sutton County, Texas",3821,0.503,0.646,64.5,0,100,0,1919,0,4,0,49.7,1238,0,4,0,0.324,0,0.001,0
"220","Swisher County, Texas",7180,0.281,0.661,66.1,100,55,0,1964,13,43,0,71.9,1298,13,24,0,0.181,0.002,0.003,0
"221","Tarrant County, Texas",1672138,0.276,0.552,53.3,50.5,72.1,30.6,351164,52878,38459,19106,72.4,187170,26703,27729,5846,0.112,0.016,0.017,0.003
"222","Taylor County, Texas",121628,0.145,0.68,71.4,32.7,71.6,71.5,14450,1044,1703,459,85.5,10317,341,1219,328,0.085,0.003,0.01,0.003
"223","Terrell County, Texas",941,0.519,0.787,81.3,0,52.3,0,444,0,44,0,48.1,361,0,23,0,0.384,0,0.024,0
"224","Terry County, Texas",11570,0.377,0.614,64.1,0,44.6,100,3790,0,555,11,62.3,2429,0,248,11,0.21,0,0.021,0.001
"225","Throckmorton County, Texas",1554,0.057,0.318,26.8,0,100,0,82,0,3,3,94.3,22,0,3,0,0.014,0,0.002,0
"226","Titus County, Texas",29113,0.351,0.462,45.9,48.2,62.6,0,9910,168,146,3,64.9,4549,81,91,0,0.156,0.003,0.003,0
"227","Tom Green County, Texas",102757,0.245,0.716,72.1,58.4,65.1,14.6,23320,690,925,158,75.5,16814,403,602,23,0.164,0.004,0.006,0
"228","Travis County, Texas",958478,0.314,0.56,52.4,60.4,77.9,26.7,232672,35677,26837,5640,68.6,121920,21549,20906,1506,0.127,0.022,0.022,0.002
"229","Trinity County, Texas",13642,0.065,0.547,53.5,80,100,0,854,30,0,0,93.5,457,24,0,0,0.033,0.002,0,0
"230","Tyler County, Texas",20560,0.067,0.746,73.9,0,100,100,1164,43,164,3,93.3,860,0,164,3,0.042,0,0.008,0
"231","Upshur County, Texas",36852,0.054,0.625,53.3,93.1,76.2,21.3,1357,218,258,141,94.6,723,203,197,30,0.02,0.006,0.005,0.001
"232","Upton County, Texas",3007,0.381,0.627,62.6,0,100,0,1142,0,3,0,61.9,715,0,3,0,0.238,0,0.001,0
"233","Uvalde County, Texas",24430,0.539,0.776,77.7,51.9,76.1,0,12993,52,122,0,46.1,10096,27,93,0,0.413,0.001,0.004,0
"234","Val Verde County, Texas",44488,0.73,0.654,65.5,47.6,100,34.3,32193,189,89,35,27,21086,90,89,12,0.474,0.002,0.002,0
"235","Van Zandt County, Texas",49383,0.077,0.607,59.5,43.9,94.3,36.4,3485,107,198,44,92.3,2074,47,187,16,0.042,0.001,0.004,0
"236","Victoria County, Texas",80635,0.249,0.734,74,48.1,71.4,0.9,18439,588,806,220,75.1,13645,283,575,2,0.169,0.004,0.007,0
"237","Walker County, Texas",64362,0.157,0.676,66.5,69.7,83.1,20,9190,290,451,175,84.3,6111,202,375,35,0.095,0.003,0.006,0.001
"238","Waller County, Texas",39802,0.231,0.621,62,58.9,61.8,0,8704,95,358,40,76.9,5396,56,221,0,0.136,0.001,0.006,0
"239","Ward County, Texas",9922,0.351,0.643,64.3,0,100,0,3443,13,20,11,64.9,2214,0,20,0,0.223,0,0.002,0
"240","Washington County, Texas",31647,0.126,0.677,65.9,83.2,69.8,0,3097,274,601,3,87.4,2041,228,419,0,0.064,0.007,0.013,0
"241","Webb County, Texas",225234,0.92,0.452,45.1,65.7,72.6,0,205509,1181,450,39,8,92685,776,327,0,0.412,0.003,0.001,0
"242","Wharton County, Texas",38170,0.276,0.656,65.1,14.5,87.3,86.1,9983,62,458,36,72.4,6499,9,400,31,0.17,0,0.01,0.001
"243","Wheeler County, Texas",5014,0.191,0.472,44.5,73.5,100,30,883,49,15,10,80.9,393,36,15,3,0.078,0.007,0.003,0.001
"244","Wichita County, Texas",122121,0.128,0.575,57.3,49.5,68.7,0,12327,2111,977,183,87.2,7063,1045,671,0,0.058,0.009,0.005,0
"245","Wilbarger County, Texas",12491,0.145,0.525,51.4,35.8,100,0,1694,53,62,0,85.5,871,19,62,0,0.07,0.002,0.005,0
"246","Willacy County, Texas",20450,0.476,0.583,58.5,0,78.8,0,9522,98,41,82,52.4,5570,0,32,0,0.272,0,0.002,0
"247","Williamson County, Texas",392866,0.202,0.674,65.8,61.7,78.5,21,56096,10218,11000,1837,79.8,36911,6305,8635,386,0.094,0.016,0.022,0.001
"248","Wilson County, Texas",40372,0.233,0.715,72.3,40,66.6,53.8,8813,145,404,13,76.7,6372,58,269,7,0.158,0.001,0.007,0
"249","Winkler County, Texas",6517,0.43,0.593,59.1,74.1,100,0,2772,27,7,0,57,1638,20,7,0,0.251,0.003,0.001,0
"250","Wise County, Texas",55416,0.141,0.596,59.2,50,73.7,48.8,7455,60,277,43,85.9,4413,30,204,21,0.08,0.001,0.004,0
"251","Wood County, Texas",39751,0.07,0.509,49.6,44.6,79.3,0,2452,175,119,8,93,1216,78,94,0,0.031,0.002,0.002,0
"252","Yoakum County, Texas",7178,0.519,0.385,38.7,23.5,38.1,0,3543,34,144,0,48.1,1371,8,55,0,0.191,0.001,0.008,0
"253","Young County, Texas",17148,0.123,0.412,40.8,0,100,100,2035,8,34,23,87.7,830,0,34,23,0.048,0,0.002,0.001
"254","Zapata County, Texas",12432,0.867,0.556,55.6,0,100,0,10783,0,0,0,13.3,5995,0,0,0,0.482,0,0,0
"255","Zavala County, Texas",10679,0.771,0.591,59.1,0,0,0,8232,0,0,0,22.9,4865,0,0,0,0.456,0,0,0
