"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Monolangual","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Other_Langual_Not_Bilingual","Overall_Bilingual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Percent_Overall_Bilingual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"37","Chambers County, Texas",43929,9036,8377,443,178,38,34893,6424,235,174,38,2165,6871,0.767,0.53,0.978,1,0.156,0.146,0.005,0.004,0.001
"38","Cherokee County, Texas",47336,9815,9612,161,27,15,37521,5516,85,16,14,4184,5631,0.574,0.528,0.593,0.933,0.119,0.117,0.002,0,0
"39","Childress County, Texas",6408,1427,1424,0,3,0,4981,1145,0,3,0,279,1148,0.804,0,1,0,0.179,0.179,0,0,0
"40","Clay County, Texas",9828,543,438,60,37,8,9285,290,11,35,8,199,344,0.662,0.183,0.946,1,0.035,0.03,0.001,0.004,0.001
"41","Cochran County, Texas",2334,1156,1084,0,71,1,1178,742,0,21,1,392,764,0.685,0,0.296,1,0.327,0.318,0,0.009,0
"42","Coke County, Texas",3173,348,322,26,0,0,2825,236,16,0,0,96,252,0.733,0.615,0,0,0.079,0.074,0.005,0,0
"43","Coleman County, Texas",7454,1346,1293,41,8,4,6108,1059,30,4,4,249,1097,0.819,0.732,0.5,1,0.147,0.142,0.004,0.001,0.001
"44","Collin County, Texas",1016063,302180,113371,92137,75179,21493,713883,72930,60552,58333,16014,94351,207829,0.643,0.657,0.776,0.745,0.205,0.072,0.06,0.057,0.016
"45","Collingsworth County, Texas",2688,369,296,0,73,0,2319,132,0,73,0,164,205,0.446,0,1,0,0.076,0.049,0,0.027,0
"46","Colorado County, Texas",19335,4009,3842,15,117,35,15326,2914,15,97,35,948,3061,0.758,1,0.829,1,0.158,0.151,0.001,0.005,0.002
"47","Comal County, Texas",156246,25275,21692,1035,2172,376,130971,16819,708,1897,307,5544,19731,0.775,0.684,0.873,0.816,0.126,0.108,0.005,0.012,0.002
"48","Comanche County, Texas",12913,2894,2691,41,135,27,10019,1809,31,130,27,897,1997,0.672,0.756,0.963,1,0.155,0.14,0.002,0.01,0.002
"49","Concho County, Texas",3106,1107,1042,27,36,2,1999,474,11,0,0,622,485,0.455,0.407,0,0,0.156,0.153,0.004,0,0
"50","Cooke County, Texas",39187,5556,5047,164,342,3,33631,2638,72,196,3,2647,2909,0.523,0.439,0.573,1,0.074,0.067,0.002,0.005,0
"51","Coryell County, Texas",77521,11623,8356,1340,1731,196,65898,6155,888,1451,145,2984,8639,0.737,0.663,0.838,0.74,0.111,0.079,0.011,0.019,0.002
"52","Cottle County, Texas",1546,255,253,0,2,0,1291,152,0,2,0,101,154,0.601,0,1,0,0.1,0.098,0,0.001,0
"53","Crane County, Texas",4192,2054,1931,117,6,0,2138,1308,80,6,0,660,1394,0.677,0.684,1,0,0.333,0.312,0.019,0.001,0
"54","Crockett County, Texas",2850,1648,1648,0,0,0,1202,1494,0,0,0,154,1494,0.907,0,0,0,0.524,0.524,0,0,0
"55","Crosby County, Texas",4834,1665,1605,51,9,0,3169,1279,17,9,0,360,1305,0.797,0.333,1,0,0.27,0.265,0.004,0.002,0
"56","Culberson County, Texas",2148,1442,1434,8,0,0,706,1164,8,0,0,270,1172,0.812,1,0,0,0.546,0.542,0.004,0,0
"57","Dallam County, Texas",6525,2208,2043,0,164,1,4317,1074,0,135,0,999,1209,0.526,0,0.823,0,0.185,0.165,0,0.021,0
"58","Dallas County, Texas",2421704,1043770,832626,95397,69133,46614,1377934,459645,57157,52356,33928,440684,603086,0.552,0.599,0.757,0.728,0.249,0.19,0.024,0.022,0.014
"59","Dawson County, Texas",11474,4155,3910,29,199,17,7319,3031,29,73,5,1017,3138,0.775,1,0.367,0.294,0.273,0.264,0.003,0.006,0
