"","Geographic.Area.Name","Estimate..Total..Population.5.years.and.over","NonEnglish_Language_Estimate","Spanish_Estimate","Asian_Pacific_Estimate","Other_Indo_Europe_Estimate","Other_Estimate","English_Monolangual","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Other_Langual_Not_Bilingual","Overall_Bilingual","Percent_of_Spanish_Bilangual","Percent_of_Asian_Pacific_Bilangual","Percent_of_IndoEuro_Bilangual","Percent_of_Other_Bilangual","Percent_Overall_Bilingual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual"
"162","Matagorda County, Texas",33585,9684,8933,512,214,25,23901,6329,19,185,25,3126,6558,0.708,0.037,0.864,1,0.195,0.188,0.001,0.006,0.001
"163","Maverick County, Texas",52723,46766,45940,36,40,750,5957,26932,13,40,549,19232,27534,0.586,0.361,1,0.732,0.522,0.511,0,0.001,0.01
"164","Medina County, Texas",48542,12345,11935,26,313,71,36197,8446,15,205,2,3677,8668,0.708,0.577,0.655,0.028,0.179,0.174,0,0.004,0
"165","Menard County, Texas",1888,460,460,0,0,0,1428,329,0,0,0,131,329,0.715,0,0,0,0.174,0.174,0,0,0
"166","Midland County, Texas",155093,52105,47188,2343,1004,1570,102988,32304,1223,843,1151,16584,35521,0.685,0.522,0.84,0.733,0.229,0.208,0.008,0.005,0.007
"167","Milam County, Texas",23682,4034,3867,89,64,14,19648,2171,63,57,14,1729,2305,0.561,0.708,0.891,1,0.097,0.092,0.003,0.002,0.001
"168","Mills County, Texas",4405,716,683,5,28,0,3689,583,3,28,0,102,614,0.854,0.6,1,0,0.139,0.132,0.001,0.006,0
"169","Mitchell County, Texas",8390,1675,1633,6,23,13,6715,1177,0,23,13,462,1213,0.721,0,1,1,0.145,0.14,0,0.003,0.002
"170","Montague County, Texas",19145,1518,1446,0,72,0,17627,1011,0,50,0,457,1061,0.699,0,0.694,0,0.055,0.053,0,0.003,0
"171","Montgomery County, Texas",589724,137516,111361,10575,12463,3117,452208,72540,7472,10184,2613,44707,92809,0.651,0.707,0.817,0.838,0.157,0.123,0.013,0.017,0.004
"172","Moore County, Texas",19366,10098,8786,630,62,620,9268,4868,307,35,241,4647,5451,0.554,0.487,0.565,0.389,0.281,0.251,0.016,0.002,0.012
"173","Morris County, Texas",11442,1253,960,97,54,142,10189,718,47,40,88,360,893,0.748,0.485,0.741,0.62,0.078,0.063,0.004,0.003,0.008
"174","Motley County, Texas",1147,105,105,0,0,0,1042,77,0,0,0,28,77,0.733,0,0,0,0.067,0.067,0,0,0
"175","Nacogdoches County, Texas",60831,9802,9104,425,245,28,51029,5217,334,169,28,4054,5748,0.573,0.786,0.69,1,0.094,0.086,0.005,0.003,0
"176","Navarro County, Texas",49387,12516,11522,800,135,59,36871,7073,336,108,59,4940,7576,0.614,0.42,0.8,1,0.153,0.143,0.007,0.002,0.001
"177","Newton County, Texas",11756,193,24,30,139,0,11563,13,4,139,0,37,156,0.542,0.133,1,0,0.013,0.001,0,0.012,0
"178","Nolan County, Texas",13636,3380,3269,22,89,0,10256,2468,10,60,0,842,2538,0.755,0.455,0.674,0,0.186,0.181,0.001,0.004,0
"179","Nueces County, Texas",331095,112644,104660,4696,2631,657,218451,82664,3159,2197,503,24121,88523,0.79,0.673,0.835,0.766,0.267,0.25,0.01,0.007,0.002
"180","Ochiltree County, Texas",9168,4571,4530,0,38,3,4597,2394,0,38,0,2139,2432,0.528,0,1,0,0.265,0.261,0,0.004,0
"181","Oldham County, Texas",2045,310,278,14,18,0,1735,148,10,18,0,134,176,0.532,0.714,1,0,0.086,0.072,0.005,0.009,0
"182","Orange County, Texas",79222,6067,4282,447,1266,72,73155,2545,224,830,69,2399,3668,0.594,0.501,0.656,0.958,0.046,0.032,0.003,0.01,0.001
"183","Palo Pinto County, Texas",26879,3336,3063,112,161,0,23543,2145,112,110,0,969,2367,0.7,1,0.683,0,0.088,0.08,0.004,0.004,0
"184","Panola County, Texas",21249,1826,1550,189,82,5,19423,1051,150,82,5,538,1288,0.678,0.794,1,1,0.061,0.049,0.007,0.004,0
"185","Parker County, Texas",142139,12435,10670,852,843,70,129704,6756,668,632,31,4348,8087,0.633,0.784,0.75,0.443,0.057,0.048,0.005,0.004,0
"186","Parmer County, Texas",9083,4823,4747,0,75,1,4260,3008,0,52,1,1762,3061,0.634,0,0.693,1,0.337,0.331,0,0.006,0
"187","Pecos County, Texas",14101,7205,6949,146,76,34,6896,5727,65,60,34,1319,5886,0.824,0.445,0.789,1,0.417,0.406,0.005,0.004,0.002
"188","Polk County, Texas",47988,6503,5843,267,114,279,41485,4230,141,90,246,1796,4707,0.724,0.528,0.789,0.882,0.098,0.088,0.003,0.002,0.005
"189","Potter County, Texas",109629,34801,26996,5129,417,2259,74828,18603,2484,248,1391,12075,22726,0.689,0.484,0.595,0.616,0.207,0.17,0.023,0.002,0.013
"190","Presidio County, Texas",5663,4205,4203,2,0,0,1458,1930,1,0,0,2274,1931,0.459,0.5,0,0,0.341,0.341,0,0,0
"191","Rains County, Texas",11719,668,533,71,32,32,11051,193,12,17,32,414,254,0.362,0.169,0.531,1,0.022,0.016,0.001,0.001,0.003
"192","Randall County, Texas",132986,16423,12440,1537,1976,470,116563,9877,649,1412,312,4173,12250,0.794,0.422,0.715,0.664,0.092,0.074,0.005,0.011,0.002
"193","Reagan County, Texas",3010,1603,1532,71,0,0,1407,1099,39,0,0,465,1138,0.717,0.549,0,0,0.378,0.365,0.013,0,0
"194","Real County, Texas",2668,349,349,0,0,0,2319,267,0,0,0,82,267,0.765,0,0,0,0.1,0.1,0,0,0
"195","Red River County, Texas",10928,543,448,11,82,2,10385,178,11,65,2,287,256,0.397,1,0.793,1,0.023,0.016,0.001,0.006,0
"196","Reeves County, Texas",13187,6934,6799,135,0,0,6253,4615,72,0,0,2247,4687,0.679,0.533,0,0,0.355,0.35,0.005,0,0
"197","Refugio County, Texas",6341,1842,1810,1,22,9,4499,1565,1,0,9,267,1575,0.865,1,0,1,0.248,0.247,0,0,0.001
"198","Roberts County, Texas",745,21,9,0,12,0,724,2,0,12,0,7,14,0.222,0,1,0,0.019,0.003,0,0.016,0
"199","Robertson County, Texas",15850,1913,1659,0,49,205,13937,1299,0,49,202,363,1550,0.783,0,1,0.985,0.098,0.082,0,0.003,0.013
"200","Rockwall County, Texas",103994,15066,10864,1774,1846,582,88928,7766,1289,1326,478,4207,10859,0.715,0.727,0.718,0.821,0.104,0.075,0.012,0.013,0.005
"201","Runnels County, Texas",9306,1999,1933,6,59,1,7307,1445,0,59,1,494,1505,0.748,0,1,1,0.162,0.155,0,0.006,0
"202","Rusk County, Texas",49838,6968,6533,201,203,31,42870,4210,150,203,21,2384,4584,0.644,0.746,1,0.677,0.092,0.084,0.003,0.004,0
"203","Sabine County, Texas",9521,356,234,71,16,35,9165,229,71,8,24,24,332,0.979,1,0.5,0.686,0.035,0.024,0.007,0.001,0.003
"204","San Augustine County, Texas",7633,536,527,0,9,0,7097,289,0,9,0,238,298,0.548,0,1,0,0.039,0.038,0,0.001,0
"205","San Jacinto County, Texas",26322,4030,3813,2,110,105,22292,2390,2,102,105,1431,2599,0.627,1,0.927,1,0.099,0.091,0,0.004,0.004
"206","San Patricio County, Texas",64306,20372,19402,484,445,41,43934,16246,275,191,21,3639,16733,0.837,0.568,0.429,0.512,0.26,0.253,0.004,0.003,0
"207","San Saba County, Texas",5535,1211,1160,7,25,19,4324,797,0,25,0,389,822,0.687,0,1,0,0.149,0.144,0,0.005,0
"208","Schleicher County, Texas",2265,831,823,8,0,0,1434,688,3,0,0,140,691,0.836,0.375,0,0,0.305,0.304,0.001,0,0
"209","Scurry County, Texas",15820,3882,3778,86,18,0,11938,2665,48,18,0,1151,2731,0.705,0.558,1,0,0.173,0.168,0.003,0.001,0
"210","Shackelford County, Texas",2991,173,142,6,25,0,2818,126,6,25,0,16,157,0.887,1,1,0,0.052,0.042,0.002,0.008,0
"211","Shelby County, Texas",22496,3486,3400,53,33,0,19010,1957,31,33,0,1465,2021,0.576,0.585,1,0,0.09,0.087,0.001,0.001,0
"212","Sherman County, Texas",2273,898,892,5,0,1,1375,600,5,0,0,293,605,0.673,1,0,0,0.266,0.264,0.002,0,0
"213","Smith County, Texas",219593,39338,34274,2308,1540,1216,180255,19415,1322,1058,1028,16515,22823,0.566,0.573,0.687,0.845,0.104,0.088,0.006,0.005,0.005
"214","Somervell County, Texas",8974,1600,1391,50,145,14,7374,844,50,77,14,615,985,0.607,1,0.531,1,0.11,0.094,0.006,0.009,0.002
"215","Starr County, Texas",59633,54277,54240,34,2,1,5356,33098,29,2,1,21147,33130,0.61,0.853,1,1,0.556,0.555,0,0,0
"216","Stephens County, Texas",8722,1522,1445,32,29,16,7200,684,8,14,16,800,722,0.473,0.25,0.483,1,0.083,0.078,0.001,0.002,0.002
"217","Sterling County, Texas",1266,274,274,0,0,0,992,224,0,0,0,50,224,0.818,0,0,0,0.177,0.177,0,0,0
"218","Stonewall County, Texas",1190,143,129,0,0,14,1047,71,0,0,14,58,85,0.55,0,0,1,0.071,0.06,0,0,0.012
"219","Sutton County, Texas",3162,1727,1717,10,0,0,1435,1262,10,0,0,455,1272,0.735,1,0,0,0.402,0.399,0.003,0,0
"220","Swisher County, Texas",6577,1970,1964,2,0,4,4607,1408,0,0,4,558,1412,0.717,0,0,1,0.215,0.214,0,0,0.001
"221","Tarrant County, Texas",1975444,578692,412892,69090,56008,40702,1396752,260216,36395,39826,28589,213666,365026,0.63,0.527,0.711,0.702,0.185,0.132,0.018,0.02,0.014
"222","Taylor County, Texas",133107,22463,17847,1949,1745,922,110644,14004,1405,1162,419,5473,16990,0.785,0.721,0.666,0.454,0.128,0.105,0.011,0.009,0.003
"223","Terrell County, Texas",851,321,321,0,0,0,530,274,0,0,0,47,274,0.854,0,0,0,0.322,0.322,0,0,0
"224","Terry County, Texas",10963,4323,3799,11,505,8,6640,2842,11,207,8,1255,3068,0.748,1,0.41,1,0.28,0.259,0.001,0.019,0.001
"225","Throckmorton County, Texas",1322,75,49,6,20,0,1247,35,3,8,0,29,46,0.714,0.5,0.4,0,0.035,0.026,0.002,0.006,0
"226","Titus County, Texas",29029,10867,10483,253,131,0,18162,6120,29,106,0,4612,6255,0.584,0.115,0.809,0,0.215,0.211,0.001,0.004,0
"227","Tom Green County, Texas",111675,27134,25129,780,1007,218,84541,18804,360,905,152,6913,20221,0.748,0.462,0.899,0.697,0.181,0.168,0.003,0.008,0.001
"228","Travis County, Texas",1214982,360154,256653,45416,40297,17788,854828,161219,28854,32101,12663,125317,234837,0.628,0.635,0.797,0.712,0.193,0.133,0.024,0.026,0.01
"229","Trinity County, Texas",13077,1486,1226,60,200,0,11591,690,60,200,0,536,950,0.563,1,1,0,0.073,0.053,0.005,0.015,0
"230","Tyler County, Texas",19188,1303,1036,89,168,10,17885,595,35,117,0,556,747,0.574,0.393,0.696,0,0.039,0.031,0.002,0.006,0
"231","Upshur County, Texas",38896,2001,1779,148,74,0,36895,1166,0,72,0,763,1238,0.655,0,0.973,0,0.032,0.03,0,0.002,0
"232","Upton County, Texas",3180,1194,1177,17,0,0,1986,997,5,0,0,192,1002,0.847,0.294,0,0,0.315,0.314,0.002,0,0
"233","Uvalde County, Texas",23084,11346,11052,195,95,4,11738,7975,146,87,0,3138,8208,0.722,0.749,0.916,0,0.356,0.345,0.006,0.004,0
"234","Val Verde County, Texas",43937,28655,28406,122,116,11,15282,19066,90,116,0,9383,19272,0.671,0.738,1,0,0.439,0.434,0.002,0.003,0
"235","Van Zandt County, Texas",56554,4846,4456,81,296,13,51708,3044,34,265,13,1490,3356,0.683,0.42,0.895,1,0.059,0.054,0.001,0.005,0
"236","Victoria County, Texas",85214,20563,19156,890,413,104,64651,14906,436,328,84,4809,15754,0.778,0.49,0.794,0.808,0.185,0.175,0.005,0.004,0.001
"237","Walker County, Texas",74180,12698,10356,670,402,1270,61482,7041,481,377,917,3882,8816,0.68,0.718,0.938,0.722,0.119,0.095,0.006,0.005,0.012
"238","Waller County, Texas",53917,12676,11707,378,402,189,41241,7174,291,273,176,4762,7914,0.613,0.77,0.679,0.931,0.147,0.133,0.005,0.005,0.003
"239","Ward County, Texas",10479,3624,3552,71,1,0,6855,2618,18,1,0,987,2637,0.737,0.254,1,0,0.252,0.25,0.002,0,0
"240","Washington County, Texas",33920,4384,4010,128,240,6,29536,2768,104,234,6,1272,3112,0.69,0.812,0.975,1,0.092,0.082,0.003,0.007,0
"241","Webb County, Texas",244692,216824,214937,1051,618,218,27868,119705,757,489,80,95793,121031,0.557,0.72,0.791,0.367,0.495,0.489,0.003,0.002,0
"242","Wharton County, Texas",38785,10403,10140,58,205,0,28382,6649,29,183,0,3542,6861,0.656,0.5,0.893,0,0.177,0.171,0.001,0.005,0
"243","Wheeler County, Texas",4680,897,849,17,13,18,3783,441,11,13,18,414,483,0.519,0.647,1,1,0.103,0.094,0.002,0.003,0.004
"244","Wichita County, Texas",121630,15724,11845,1825,1273,781,105906,8335,1166,892,710,4621,11103,0.704,0.639,0.701,0.909,0.091,0.069,0.01,0.007,0.006
"245","Wilbarger County, Texas",11953,2343,2063,256,22,2,9610,1521,227,22,0,573,1770,0.737,0.887,1,0,0.148,0.127,0.019,0.002,0
"246","Willacy County, Texas",19072,11818,11815,3,0,0,7254,8780,3,0,0,3035,8783,0.743,1,0,0,0.461,0.46,0,0,0
"247","Williamson County, Texas",579812,138476,80948,28321,22817,6390,441336,55957,19784,17503,5112,40120,98356,0.691,0.699,0.767,0.8,0.17,0.097,0.034,0.03,0.009
"248","Wilson County, Texas",47567,10334,9702,119,506,7,37233,6931,92,391,7,2913,7421,0.714,0.773,0.773,1,0.156,0.146,0.002,0.008,0
"249","Winkler County, Texas",7065,3308,3265,43,0,0,3757,2305,0,0,0,1003,2305,0.706,0,0,0,0.326,0.326,0,0,0
"250","Wise County, Texas",65915,10893,10085,367,422,19,55022,5946,278,369,13,4287,6606,0.59,0.757,0.874,0.684,0.1,0.09,0.004,0.006,0
"251","Wood County, Texas",43270,4025,3203,200,425,197,39245,1908,148,353,117,1499,2526,0.596,0.74,0.831,0.594,0.058,0.044,0.003,0.008,0.003
"252","Yoakum County, Texas",6955,4298,3934,0,364,0,2657,2529,0,152,0,1617,2681,0.643,0,0.418,0,0.385,0.364,0,0.022,0
"253","Young County, Texas",16919,2546,2370,107,46,23,14373,1090,75,46,23,1312,1234,0.46,0.701,1,1,0.073,0.064,0.004,0.003,0.001
"254","Zapata County, Texas",12762,10943,10943,0,0,0,1819,6923,0,0,0,4020,6923,0.633,0,0,0,0.542,0.542,0,0,0
"255","Zavala County, Texas",9003,6380,6380,0,0,0,2623,4898,0,0,0,1482,4898,0.768,0,0,0,0.544,0.544,0,0,0
