"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"1","Texas",23280055,3937818,320472,348270,41262,0.169,0.014,0.015,0.002,"State","State"
"2","Anderson",55113,4352,154,105,5,0.079,0.003,0.002,0,"Upper East","Rural"
"3","Andrews",13747,3324,81,27,0,0.242,0.006,0.002,0,"West Texas","Rural"
"4","Angelina",80130,7413,172,360,0,0.093,0.002,0.004,0,"Southeast","Rural"
"5","Aransas",22118,2244,138,107,50,0.101,0.006,0.005,0.002,"South Texas","Urban"
"6","Archer",8520,280,12,14,0,0.033,0.001,0.002,0,"Northwest","Urban"
"7","Armstrong",1720,87,4,3,0,0.051,0.002,0.002,0,"High Plains","Urban"
"8","Atascosa",41674,11484,46,112,22,0.276,0.001,0.003,0.001,"Alamo","Urban"
"9","Austin",26546,2539,21,368,0,0.096,0.001,0.014,0,"Gulf Coast","Urban"
"10","Bailey",6478,2032,0,0,0,0.314,0,0,0,"High Plains","Rural"
"11","Bandera",19471,1547,65,140,0,0.079,0.003,0.007,0,"Alamo","Urban"
"12","Bastrop",69095,9566,304,282,44,0.138,0.004,0.004,0.001,"Capitol","Urban"
"13","Baylor",3520,91,0,32,0,0.026,0,0.009,0,"Northwest","Rural"
"14","Bee",30197,8326,99,115,28,0.276,0.003,0.004,0.001,"South Texas","Rural"
"15","Bell",282057,24226,3982,5014,157,0.086,0.014,0.018,0.001,"Central Texas","Urban"
"16","Bexar",1589642,436185,14664,18909,2622,0.274,0.009,0.012,0.002,"Alamo","Urban"
"17","Blanco",9883,617,7,84,5,0.062,0.001,0.008,0.001,"Capitol","Rural"
"18","Borden",578,48,0,2,0,0.083,0,0.003,0,"West Texas","Rural"
"19","Bosque",17128,1342,18,30,0,0.078,0.001,0.002,0,"Central Texas","Urban"
"20","Bowie",86491,2723,264,560,26,0.031,0.003,0.006,0,"Upper East","Urban"
"21","Brazoria",289310,37143,7322,5013,180,0.128,0.025,0.017,0.001,"Gulf Coast","Urban"
"22","Brazos",181532,16151,3278,3856,146,0.089,0.018,0.021,0.001,"Central Texas","Urban"
"23","Brewster",8664,2677,64,68,0,0.309,0.007,0.008,0,"Upper Rio Grande","Rural"
"24","Briscoe",1533,178,0,0,0,0.116,0,0,0,"High Plains","Rural"
"25","Brooks",6663,3521,9,13,0,0.528,0.001,0.002,0,"South Texas","Rural"
"26","Brown",35699,1786,36,33,0,0.05,0.001,0.001,0,"Northwest","Rural"
