"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"27","Burleson",16089,969,33,209,0,0.06,0.002,0.013,0,"Central Texas","Urban"
"28","Burnet",40513,2869,21,217,1,0.071,0.001,0.005,0,"Capitol","Rural"
"29","Caldwell",35535,7827,29,59,2,0.22,0.001,0.002,0,"Capitol","Urban"
"30","Calhoun",19846,2975,219,99,20,0.15,0.011,0.005,0.001,"Alamo","Rural"
"31","Callahan",12706,367,10,43,0,0.029,0.001,0.003,0,"Northwest","Urban"
"32","Cameron",369397,158594,1041,953,99,0.429,0.003,0.003,0,"South Texas","Urban"
"33","Camp",11527,1004,9,20,22,0.087,0.001,0.002,0.002,"Upper East","Rural"
"34","Carson",5867,343,10,12,0,0.058,0.002,0.002,0,"High Plains","Urban"
"35","Cass",28596,513,35,114,0,0.018,0.001,0.004,0,"Upper East","Rural"
"36","Castro",7286,2106,0,7,0,0.289,0,0.001,0,"High Plains","Rural"
"37","Chambers",32154,2907,56,550,0,0.09,0.002,0.017,0,"Gulf Coast","Urban"
"38","Cherokee",47099,4020,48,129,0,0.085,0.001,0.003,0,"Upper East","Rural"
"39","Childress",6797,636,13,60,0,0.094,0.002,0.009,0,"High Plains","Rural"
"40","Clay",10128,165,4,54,0,0.016,0,0.005,0,"Northwest","Urban"
"41","Cochran",2845,674,1,9,0,0.237,0,0.003,0,"High Plains","Urban"
"42","Coke",3134,347,0,3,0,0.111,0,0.001,0,"West Texas","Rural"
"43","Coleman",8235,241,4,33,0,0.029,0,0.004,0,"Northwest","Rural"
"44","Collin",730066,46412,29724,28710,2800,0.064,0.041,0.039,0.004,"Metroplex","Urban"
"45","Collingsworth",2783,428,13,7,14,0.154,0.005,0.003,0.005,"High Plains","Rural"
"46","Colorado",19563,2545,22,279,0,0.13,0.001,0.014,0,"Gulf Coast","Rural"
"47","Comal",102769,10643,439,2111,13,0.104,0.004,0.021,0,"Alamo","Urban"
"48","Comanche",12969,1458,11,67,0,0.112,0.001,0.005,0,"Northwest","Rural"
"49","Concho",3906,501,15,13,0,0.128,0.004,0.003,0,"West Texas","Rural"
"50","Cooke",35725,2644,79,157,6,0.074,0.002,0.004,0,"Metroplex","Rural"
"51","Coryell",69473,5181,677,1550,43,0.075,0.01,0.022,0.001,"Central Texas","Urban"
"52","Cottle",1508,116,0,2,0,0.077,0,0.001,0,"Northwest","Rural"
"53","Crane",4048,1249,0,4,0,0.309,0,0.001,0,"West Texas","Rural"
"54","Crockett",3362,965,0,5,0,0.287,0,0.001,0,"West Texas","Rural"
"55","Crosby",5593,1270,0,11,0,0.227,0,0.002,0,"High Plains","Urban"
"56","Culberson",2232,1124,0,16,0,0.504,0,0.007,0,"Upper Rio Grande","Rural"
"57","Dallam",6105,943,0,93,0,0.154,0,0.015,0,"High Plains","Rural"
"58","Dallas",2185375,363705,38693,36693,7679,0.166,0.018,0.017,0.004,"Metroplex","Urban"
"59","Dawson",12793,3108,11,110,0,0.243,0.001,0.009,0,"West Texas","Rural"
"60","Deaf Smith",17396,5449,22,19,116,0.313,0.001,0.001,0.007,"High Plains","Rural"
"61","Delta",4918,75,0,5,4,0.015,0,0.001,0.001,"Upper East","Rural"
"62","Denton",618167,47452,15186,14966,638,0.077,0.025,0.024,0.001,"Metroplex","Urban"
"63","DeWitt",19003,2325,38,256,0,0.122,0.002,0.013,0,"Alamo","Rural"
"64","Dickens",2282,218,0,0,0,0.096,0,0,0,"High Plains","Rural"
"65","Dimmit",9225,3979,0,36,0,0.431,0,0.004,0,"South Texas","Rural"
"66","Donley",3473,132,13,23,0,0.038,0.004,0.007,0,"High Plains","Rural"
"67","Duval",11019,5101,0,22,0,0.463,0,0.002,0,"South Texas","Rural"
"68","Eastland",17452,814,49,96,0,0.047,0.003,0.006,0,"Northwest","Rural"
"69","Ector",125969,34084,480,535,73,0.271,0.004,0.004,0.001,"West Texas","Urban"
"70","Edwards",1939,749,0,0,0,0.386,0,0,0,"South Texas","Rural"
"71","Ellis",138877,14801,453,647,94,0.107,0.003,0.005,0.001,"Metroplex","Urban"
"72","El Paso",735487,305384,2939,5163,361,0.415,0.004,0.007,0,"Upper Rio Grande","Urban"
"73","Erath",35781,3506,159,156,0,0.098,0.004,0.004,0,"Metroplex","Rural"
"74","Falls",16698,1584,74,142,0,0.095,0.004,0.009,0,"Central Texas","Urban"
"75","Fannin",31939,1498,103,122,0,0.047,0.003,0.004,0,"Metroplex","Rural"
"76","Fayette",23227,1816,0,764,0,0.078,0,0.033,0,"Capitol","Rural"
"77","Fisher",3752,494,0,12,0,0.132,0,0.003,0,"Northwest","Rural"
"78","Floyd",5943,1585,0,6,0,0.267,0,0.001,0,"High Plains","Rural"
"79","Foard",1186,78,3,9,0,0.066,0.003,0.008,0,"Northwest","Rural"
"80","Fort Bend",544450,64848,31743,27822,3271,0.119,0.058,0.051,0.006,"Gulf Coast","Urban"
"81","Franklin",9906,727,0,10,0,0.073,0,0.001,0,"Upper East","Rural"
"82","Freestone",18401,1186,11,91,34,0.064,0.001,0.005,0.002,"Central Texas","Rural"
"83","Frio",16136,7041,0,36,11,0.436,0,0.002,0.001,"Alamo","Rural"
"84","Gaines",15802,2233,66,2361,0,0.141,0.004,0.149,0,"West Texas","Rural"
"85","Galveston",272873,24909,3128,3959,89,0.091,0.011,0.015,0,"Gulf Coast","Urban"
"86","Garza",5861,526,7,23,13,0.09,0.001,0.004,0.002,"High Plains","Urban"
"87","Gillespie",23562,2104,1,1360,0,0.089,0,0.058,0,"Alamo","Rural"
"88","Glasscock",1195,122,0,2,0,0.102,0,0.002,0,"West Texas","Rural"
"89","Goliad",6816,892,7,69,0,0.131,0.001,0.01,0,"Alamo","Urban"
"90","Gonzales",18308,4763,21,191,0,0.26,0.001,0.01,0,"Alamo","Rural"
"91","Gray",21044,2281,51,161,0,0.108,0.002,0.008,0,"High Plains","Rural"
"92","Grayson",112853,4921,115,1086,33,0.044,0.001,0.01,0,"Metroplex","Urban"
"93","Gregg",112401,7845,566,559,43,0.07,0.005,0.005,0,"Upper East","Urban"
"94","Grimes",24992,2539,8,156,0,0.102,0,0.006,0,"Central Texas","Rural"
"95","Guadalupe",122842,19283,624,1476,0,0.157,0.005,0.012,0,"Alamo","Urban"
"96","Hale",33212,8562,56,104,0,0.258,0.002,0.003,0,"High Plains","Rural"
"97","Hall",3126,391,5,47,0,0.125,0.002,0.015,0,"High Plains","Rural"
"98","Hamilton",7995,358,0,7,0,0.045,0,0.001,0,"Central Texas","Rural"
"99","Hansford",5126,1088,8,10,0,0.212,0.002,0.002,0,"High Plains","Rural"
"100","Hardeman",3865,307,0,0,0,0.079,0,0,0,"Northwest","Rural"
"101","Hardin",50813,966,72,198,12,0.019,0.001,0.004,0,"Southeast","Urban"
"102","Harris",3765122,627660,79152,79599,11473,0.167,0.021,0.021,0.003,"Gulf Coast","Urban"
"103","Harrison",61363,2527,83,386,0,0.041,0.001,0.006,0,"Upper East","Urban"
"104","Hartley",5681,570,0,85,1,0.1,0,0.015,0,"High Plains","Rural"
"105","Haskell",5574,398,0,16,14,0.071,0,0.003,0.003,"Northwest","Rural"
"106","Hays",147847,21970,766,1892,27,0.149,0.005,0.013,0,"Capitol","Urban"
"107","Hemphill",3574,411,0,6,0,0.115,0,0.002,0,"High Plains","Rural"
"108","Henderson",73943,3435,38,458,0,0.046,0.001,0.006,0,"Upper East","Rural"
"109","Hidalgo",699054,358882,3276,1378,47,0.513,0.005,0.002,0,"South Texas","Urban"
"110","Hill",32787,2557,48,308,4,0.078,0.001,0.009,0,"Central Texas","Rural"
"111","Hockley",21311,4755,25,67,32,0.223,0.001,0.003,0.002,"High Plains","Urban"
"112","Hood",48317,2404,142,278,0,0.05,0.003,0.006,0,"Metroplex","Rural"
"113","Hopkins",32636,2315,89,118,0,0.071,0.003,0.004,0,"Upper East","Rural"
"114","Houston",22302,1231,40,156,0,0.055,0.002,0.007,0,"Southeast","Rural"
"115","Howard",32657,4962,129,109,24,0.152,0.004,0.003,0.001,"West Texas","Rural"
"116","Hudspeth",3162,1431,0,30,0,0.453,0,0.009,0,"Upper Rio Grande","Urban"
"117","Hunt",80246,5525,236,464,11,0.069,0.003,0.006,0,"Metroplex","Urban"
"118","Hutchinson",20482,1977,60,54,0,0.097,0.003,0.003,0,"High Plains","Rural"
"119","Irion",1520,216,5,0,0,0.142,0.003,0,0,"West Texas","Urban"
"120","Jack",8574,451,0,26,0,0.053,0,0.003,0,"Northwest","Rural"
"121","Jackson",13036,1907,5,196,0,0.146,0,0.015,0,"Alamo","Rural"
"122","Jasper",33257,984,88,185,15,0.03,0.003,0.006,0,"Southeast","Rural"
"123","Jeff Davis",2194,766,0,11,0,0.349,0,0.005,0,"Upper Rio Grande","Rural"
"124","Jefferson",234413,17554,3153,3760,140,0.075,0.013,0.016,0.001,"Southeast","Urban"
"125","Jim Hogg",4850,2944,0,0,0,0.607,0,0,0,"South Texas","Rural"
"126","Jim Wells",37681,15017,7,112,25,0.399,0,0.003,0.001,"South Texas","Rural"
"127","Johnson",140482,11368,392,491,11,0.081,0.003,0.003,0,"Metroplex","Urban"
"128","Jones",19218,2052,47,46,7,0.107,0.002,0.002,0,"Northwest","Urban"
"129","Karnes",14132,3612,0,170,7,0.256,0,0.012,0,"Alamo","Rural"
"130","Kaufman",95697,6429,451,362,33,0.067,0.005,0.004,0,"Metroplex","Urban"
"131","Kendall",31981,2870,166,432,0,0.09,0.005,0.014,0,"Alamo","Urban"
"132","Kenedy",431,51,0,0,1,0.118,0,0,0.002,"South Texas","Rural"
"133","Kent",782,22,0,0,0,0.028,0,0,0,"Northwest","Rural"
"134","Kerr",46896,5401,135,276,0,0.115,0.003,0.006,0,"Alamo","Rural"
"135","Kimble",4358,674,0,13,0,0.155,0,0.003,0,"West Texas","Rural"
"136","King",227,18,0,0,0,0.079,0,0,0,"High Plains","Rural"
"137","Kinney",3343,1328,33,57,0,0.397,0.01,0.017,0,"South Texas","Rural"
"138","Kleberg",29423,10210,226,221,19,0.347,0.008,0.008,0.001,"South Texas","Rural"
"139","Knox",3433,412,0,10,0,0.12,0,0.003,0,"Northwest","Rural"
"140","Lamar",46515,1322,47,461,0,0.028,0.001,0.01,0,"Upper East","Rural"
"141","Lamb",12819,2954,12,11,0,0.23,0.001,0.001,0,"High Plains","Rural"
"142","Lampasas",18572,1325,75,259,56,0.071,0.004,0.014,0.003,"Central Texas","Urban"
"143","La Salle",6294,2378,20,7,0,0.378,0.003,0.001,0,"South Texas","Rural"
"144","Lavaca",18050,1611,14,732,0,0.089,0.001,0.041,0,"Alamo","Rural"
"145","Lee",15568,1371,75,317,0,0.088,0.005,0.02,0,"Capitol","Rural"
"146","Leon",15784,574,0,2,0,0.036,0,0,0,"Central Texas","Rural"
"147","Liberty",70451,7027,94,494,0,0.1,0.001,0.007,0,"Gulf Coast","Urban"
"148","Limestone",21835,1105,40,70,11,0.051,0.002,0.003,0.001,"Central Texas","Rural"
"149","Lipscomb",3008,377,0,12,0,0.125,0,0.004,0,"High Plains","Rural"
"150","Live Oak",10971,2154,42,66,1,0.196,0.004,0.006,0,"South Texas","Rural"
"151","Llano",18333,557,14,27,0,0.03,0.001,0.001,0,"Capitol","Rural"
"152","Loving",85,0,0,0,0,0,0,0,0,"West Texas","Rural"
"153","Lubbock",258475,36741,1920,2451,143,0.142,0.007,0.009,0.001,"High Plains","Urban"
"154","Lynn",5467,1207,0,17,0,0.221,0,0.003,0,"High Plains","Urban"
"155","McCulloch",7761,931,44,8,0,0.12,0.006,0.001,0,"West Texas","Rural"
"156","McLennan",217932,19554,1096,2266,135,0.09,0.005,0.01,0.001,"Central Texas","Urban"
"157","McMullen",662,182,0,0,0,0.275,0,0,0,"South Texas","Rural"
"158","Madison",12855,1789,30,51,0,0.139,0.002,0.004,0,"Central Texas","Rural"
"159","Marion",9956,286,0,50,0,0.029,0,0.005,0,"Upper East","Rural"
"160","Martin",4427,706,0,55,0,0.159,0,0.012,0,"West Texas","Urban"
"161","Mason",3779,241,0,86,0,0.064,0,0.023,0,"West Texas","Rural"
"162","Matagorda",34023,5177,181,241,10,0.152,0.005,0.007,0,"Gulf Coast","Rural"
"163","Maverick",49350,22583,17,79,127,0.458,0,0.002,0.003,"South Texas","Urban"
"164","Medina",43010,10884,51,296,0,0.253,0.001,0.007,0,"Alamo","Urban"
"165","Menard",2094,333,0,33,0,0.159,0,0.016,0,"West Texas","Rural"
"166","Midland",127270,21969,533,1106,68,0.173,0.004,0.009,0.001,"West Texas","Urban"
"167","Milam",22973,2103,31,214,0,0.092,0.001,0.009,0,"Central Texas","Rural"
"168","Mills",4611,225,0,12,0,0.049,0,0.003,0,"Central Texas","Rural"
"169","Mitchell",8834,1625,34,44,0,0.184,0.004,0.005,0,"Northwest","Rural"
"170","Montague",18478,1022,20,106,0,0.055,0.001,0.006,0,"Northwest","Rural"
"171","Montgomery",424918,35513,3439,5290,330,0.084,0.008,0.012,0.001,"Gulf Coast","Urban"
"172","Moore",19732,5309,107,281,146,0.269,0.005,0.014,0.007,"High Plains","Rural"
"173","Morris",12097,433,0,9,11,0.036,0,0.001,0.001,"Upper East","Rural"
"174","Motley",1113,81,1,0,0,0.073,0.001,0,0,"High Plains","Rural"
"175","Nacogdoches",60161,4733,313,219,64,0.079,0.005,0.004,0.001,"Southeast","Rural"
"176","Navarro",44229,3900,153,241,0,0.088,0.003,0.005,0,"Metroplex","Rural"
"177","Newton",13572,205,44,76,0,0.015,0.003,0.006,0,"Southeast","Rural"
"178","Nolan",14025,2206,7,27,14,0.157,0,0.002,0.001,"Northwest","Rural"
"179","Nueces",316598,84645,2174,2731,73,0.267,0.007,0.009,0,"South Texas","Urban"
"180","Ochiltree",9346,2050,6,9,0,0.219,0.001,0.001,0,"High Plains","Rural"
"181","Oldham",1934,104,0,12,0,0.054,0,0.006,0,"High Plains","Urban"
"182","Orange",76962,1888,316,722,41,0.025,0.004,0.009,0.001,"Southeast","Urban"
"183","Palo Pinto",26099,1153,10,221,6,0.044,0,0.008,0,"Metroplex","Rural"
"184","Panola",22284,579,28,22,0,0.026,0.001,0.001,0,"Upper East","Rural"
"185","Parker",109648,4661,251,596,23,0.043,0.002,0.005,0,"Metroplex","Urban"
"186","Parmer",9323,2384,0,34,0,0.256,0,0.004,0,"High Plains","Rural"
"187","Pecos",14309,5226,0,7,0,0.365,0,0,0,"West Texas","Rural"
"188","Polk",42991,2963,20,328,62,0.069,0,0.008,0.001,"Southeast","Rural"
"189","Potter",110844,17087,1351,689,380,0.154,0.012,0.006,0.003,"High Plains","Urban"
"190","Presidio",7058,3743,1,92,0,0.53,0,0.013,0,"Upper Rio Grande","Rural"
"191","Rains",10469,610,23,13,4,0.058,0.002,0.001,0,"Upper East","Rural"
"192","Randall",112903,7020,501,760,388,0.062,0.004,0.007,0.003,"High Plains","Urban"
"193","Reagan",3161,920,0,0,0,0.291,0,0,0,"West Texas","Rural"
"194","Real",3182,393,0,0,0,0.124,0,0,0,"South Texas","Rural"
"195","Red River",12091,231,8,48,8,0.019,0.001,0.004,0.001,"Upper East","Rural"
"196","Reeves",12659,4706,8,60,7,0.372,0.001,0.005,0.001,"West Texas","Rural"
"197","Refugio",6921,1356,21,6,0,0.196,0.003,0.001,0,"South Texas","Rural"
"198","Roberts",919,15,5,12,0,0.016,0.005,0.013,0,"High Plains","Rural"
"199","Robertson",15449,1343,73,121,50,0.087,0.005,0.008,0.003,"Central Texas","Urban"
"200","Rockwall",73219,5197,592,1016,78,0.071,0.008,0.014,0.001,"Metroplex","Urban"
"201","Runnels",9814,917,8,11,0,0.093,0.001,0.001,0,"Northwest","Rural"
"202","Rusk",49774,3933,134,130,0,0.079,0.003,0.003,0,"Upper East","Urban"
"203","Sabine",10176,286,0,71,0,0.028,0,0.007,0,"Southeast","Rural"
"204","San Augustine",8384,165,0,66,0,0.02,0,0.008,0,"Southeast","Rural"
"205","San Jacinto",24864,793,35,124,0,0.032,0.001,0.005,0,"Southeast","Urban"
"206","San Patricio",60589,14454,178,282,0,0.239,0.003,0.005,0,"South Texas","Urban"
"207","San Saba",5757,850,15,40,0,0.148,0.003,0.007,0,"Central Texas","Rural"
"208","Schleicher",3064,749,0,0,0,0.244,0,0,0,"West Texas","Rural"
"209","Scurry",15600,2863,6,47,0,0.184,0,0.003,0,"Northwest","Rural"
"210","Shackelford",3168,208,0,6,0,0.066,0,0.002,0,"Northwest","Rural"
"211","Shelby",23669,1683,52,27,0,0.071,0.002,0.001,0,"Southeast","Rural"
"212","Sherman",2844,569,6,2,0,0.2,0.002,0.001,0,"High Plains","Rural"
"213","Smith",194768,15215,932,1495,93,0.078,0.005,0.008,0,"Upper East","Urban"
"214","Somervell",7928,703,14,24,0,0.089,0.002,0.003,0,"Metroplex","Rural"
"215","Starr",55162,27075,16,50,0,0.491,0,0.001,0,"South Texas","Rural"
"216","Stephens",8950,602,34,9,0,0.067,0.004,0.001,0,"Northwest","Rural"
"217","Sterling",1139,160,0,3,0,0.14,0,0.003,0,"West Texas","Rural"
"218","Stonewall",1367,54,0,18,11,0.04,0,0.013,0.008,"Northwest","Rural"
"219","Sutton",3821,1238,0,4,0,0.324,0,0.001,0,"West Texas","Rural"
"220","Swisher",7180,1298,13,24,0,0.181,0.002,0.003,0,"High Plains","Rural"
"221","Tarrant",1672138,187170,26703,27729,5846,0.112,0.016,0.017,0.003,"Metroplex","Urban"
"222","Taylor",121628,10317,341,1219,328,0.085,0.003,0.01,0.003,"Northwest","Urban"
"223","Terrell",941,361,0,23,0,0.384,0,0.024,0,"West Texas","Rural"
"224","Terry",11570,2429,0,248,11,0.21,0,0.021,0.001,"High Plains","Rural"
"225","Throckmorton",1554,22,0,3,0,0.014,0,0.002,0,"Northwest","Rural"
"226","Titus",29113,4549,81,91,0,0.156,0.003,0.003,0,"Upper East","Rural"
"227","Tom Green",102757,16814,403,602,23,0.164,0.004,0.006,0,"West Texas","Urban"
"228","Travis",958478,121920,21549,20906,1506,0.127,0.022,0.022,0.002,"Capitol","Urban"
"229","Trinity",13642,457,24,0,0,0.033,0.002,0,0,"Southeast","Rural"
"230","Tyler",20560,860,0,164,3,0.042,0,0.008,0,"Southeast","Rural"
"231","Upshur",36852,723,203,197,30,0.02,0.006,0.005,0.001,"Upper East","Urban"
"232","Upton",3007,715,0,3,0,0.238,0,0.001,0,"West Texas","Rural"
"233","Uvalde",24430,10096,27,93,0,0.413,0.001,0.004,0,"South Texas","Rural"
"234","Val Verde",44488,21086,90,89,12,0.474,0.002,0.002,0,"South Texas","Rural"
"235","Van Zandt",49383,2074,47,187,16,0.042,0.001,0.004,0,"Upper East","Rural"
"236","Victoria",80635,13645,283,575,2,0.169,0.004,0.007,0,"Alamo","Urban"
"237","Walker",64362,6111,202,375,35,0.095,0.003,0.006,0.001,"Gulf Coast","Rural"
"238","Waller",39802,5396,56,221,0,0.136,0.001,0.006,0,"Gulf Coast","Urban"
"239","Ward",9922,2214,0,20,0,0.223,0,0.002,0,"West Texas","Rural"
"240","Washington",31647,2041,228,419,0,0.064,0.007,0.013,0,"Central Texas","Rural"
"241","Webb",225234,92685,776,327,0,0.412,0.003,0.001,0,"South Texas","Urban"
"242","Wharton",38170,6499,9,400,31,0.17,0,0.01,0.001,"Gulf Coast","Rural"
"243","Wheeler",5014,393,36,15,3,0.078,0.007,0.003,0.001,"High Plains","Rural"
"244","Wichita",122121,7063,1045,671,0,0.058,0.009,0.005,0,"Northwest","Urban"
"245","Wilbarger",12491,871,19,62,0,0.07,0.002,0.005,0,"Northwest","Rural"
"246","Willacy",20450,5570,0,32,0,0.272,0,0.002,0,"South Texas","Rural"
"247","Williamson",392866,36911,6305,8635,386,0.094,0.016,0.022,0.001,"Capitol","Urban"
"248","Wilson",40372,6372,58,269,7,0.158,0.001,0.007,0,"Alamo","Urban"
"249","Winkler",6517,1638,20,7,0,0.251,0.003,0.001,0,"West Texas","Rural"
"250","Wise",55416,4413,30,204,21,0.08,0.001,0.004,0,"Metroplex","Urban"
"251","Wood",39751,1216,78,94,0,0.031,0.002,0.002,0,"Upper East","Rural"
"252","Yoakum",7178,1371,8,55,0,0.191,0.001,0.008,0,"High Plains","Rural"
"253","Young",17148,830,0,34,23,0.048,0,0.002,0.001,"Northwest","Rural"
"254","Zapata",12432,5995,0,0,0,0.482,0,0,0,"South Texas","Rural"
"255","Zavala",10679,4865,0,0,0,0.456,0,0,0,"South Texas","Rural"
