"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"34","Carson",5425,109,7,10,0,0.703,0.778,1,0,"High Plains","Urban"
"35","Cass",27024,496,216,221,35,0.694,0.479,0.877,1,"Upper East","Rural"
"36","Castro",6806,2646,24,1,0,0.756,0.436,1,0,"High Plains","Rural"
"37","Chambers",43929,6424,235,174,38,0.767,0.53,0.978,1,"Gulf Coast","Urban"
"38","Cherokee",47336,5516,85,16,14,0.574,0.528,0.593,0.933,"Upper East","Rural"
"39","Childress",6408,1145,0,3,0,0.804,0,1,0,"High Plains","Rural"
"40","Clay",9828,290,11,35,8,0.662,0.183,0.946,1,"Northwest","Urban"
"41","Cochran",2334,742,0,21,1,0.685,0,0.296,1,"High Plains","Urban"
"42","Coke",3173,236,16,0,0,0.733,0.615,0,0,"West Texas","Rural"
"43","Coleman",7454,1059,30,4,4,0.819,0.732,0.5,1,"Northwest","Rural"
"44","Collin",1016063,72930,60552,58333,16014,0.643,0.657,0.776,0.745,"Metroplex","Urban"
"45","Collingsworth",2688,132,0,73,0,0.446,0,1,0,"High Plains","Rural"
"46","Colorado",19335,2914,15,97,35,0.758,1,0.829,1,"Gulf Coast","Rural"
"47","Comal",156246,16819,708,1897,307,0.775,0.684,0.873,0.816,"Alamo","Urban"
"48","Comanche",12913,1809,31,130,27,0.672,0.756,0.963,1,"Northwest","Rural"
"49","Concho",3106,474,11,0,0,0.455,0.407,0,0,"West Texas","Rural"
"50","Cooke",39187,2638,72,196,3,0.523,0.439,0.573,1,"Metroplex","Rural"
"51","Coryell",77521,6155,888,1451,145,0.737,0.663,0.838,0.74,"Central Texas","Urban"
"52","Cottle",1546,152,0,2,0,0.601,0,1,0,"Northwest","Rural"
"53","Crane",4192,1308,80,6,0,0.677,0.684,1,0,"West Texas","Rural"
"54","Crockett",2850,1494,0,0,0,0.907,0,0,0,"West Texas","Rural"
"55","Crosby",4834,1279,17,9,0,0.797,0.333,1,0,"High Plains","Urban"
"56","Culberson",2148,1164,8,0,0,0.812,1,0,0,"Upper Rio Grande","Rural"
"57","Dallam",6525,1074,0,135,0,0.526,0,0.823,0,"High Plains","Rural"
"58","Dallas",2421704,459645,57157,52356,33928,0.552,0.599,0.757,0.728,"Metroplex","Urban"
"59","Dawson",11474,3031,29,73,5,0.775,1,0.367,0.294,"West Texas","Rural"
"60","Deaf Smith",16996,6876,0,18,7,0.727,0,1,1,"High Plains","Rural"
"61","Delta",4887,71,10,9,0,0.597,1,1,0,"Upper East","Rural"
"62","Denton",861332,70799,30453,24431,8690,0.641,0.609,0.78,0.863,"Metroplex","Urban"
"63","DeWitt",18584,2105,43,110,0,0.718,0.537,0.965,0,"Alamo","Rural"
"64","Dickens",1462,168,0,11,0,0.753,0,1,0,"High Plains","Rural"
"65","Dimmit",8115,3154,46,7,36,0.681,0.939,0.438,1,"South Texas","Rural"
"66","Donley",3171,99,22,29,1,0.639,1,1,1,"High Plains","Rural"
"67","Duval",9291,4477,0,39,0,0.855,0,1,0,"South Texas","Rural"
"68","Eastland",16824,1368,109,66,1,0.738,0.908,1,0.5,"Northwest","Rural"
"69","Ector",148224,47736,737,665,907,0.7,0.702,0.772,0.926,"West Texas","Urban"
"70","Edwards",1335,453,0,0,0,0.809,0,0,0,"South Texas","Rural"
"71","Ellis",182937,20512,386,1031,697,0.645,0.617,0.886,0.761,"Metroplex","Urban"
"72","El Paso",803798,315836,4248,4994,1450,0.584,0.611,0.774,0.675,"Upper Rio Grande","Urban"
"73","Erath",40308,3332,175,535,27,0.572,0.524,0.962,1,"Metroplex","Rural"
"74","Falls",16158,1148,0,217,151,0.562,0,0.759,0.883,"Central Texas","Urban"
"75","Fannin",34259,2117,43,119,40,0.647,0.467,0.7,1,"Metroplex","Rural"
"76","Fayette",23381,2886,48,341,0,0.769,1,0.874,0,"Capitol","Rural"
"77","Fisher",3444,390,0,12,0,0.713,0,1,0,"Northwest","Rural"
"78","Floyd",5047,1368,16,23,0,0.705,1,1,0,"High Plains","Rural"
"79","Foard",1031,29,1,0,0,0.63,0.5,0,0,"Northwest","Rural"
"80","Fort Bend",779814,90526,51208,48703,25642,0.672,0.589,0.756,0.855,"Gulf Coast","Urban"
"81","Franklin",9682,783,15,72,0,0.697,1,0.766,0,"Upper East","Rural"
"82","Freestone",18564,1499,13,58,13,0.738,0.619,1,1,"Central Texas","Rural"
"83","Frio",17037,5182,22,84,11,0.603,0.667,0.522,0.204,"Alamo","Rural"
"84","Gaines",19353,3017,59,2797,34,0.614,0.831,0.501,1,"West Texas","Rural"
"85","Galveston",330121,36118,4880,4963,884,0.689,0.651,0.786,0.856,"Gulf Coast","Urban"
"86","Garza",5570,896,22,0,6,0.473,0.423,0,0.375,"High Plains","Urban"
"87","Gillespie",25686,1836,41,487,0,0.485,0.707,0.775,0,"Alamo","Rural"
"88","Glasscock",992,96,0,28,46,0.49,0,1,1,"West Texas","Rural"
"89","Goliad",6842,871,3,110,0,0.712,0.3,1,0,"Alamo","Urban"
"90","Gonzales",18342,2923,41,38,15,0.557,0.297,1,1,"Alamo","Rural"
"91","Gray",19934,2355,43,20,2,0.598,0.935,0.392,1,"High Plains","Rural"
"92","Grayson",128586,7870,420,1125,151,0.615,0.456,0.86,0.956,"Metroplex","Urban"
"93","Gregg",116013,11890,774,607,257,0.68,0.649,0.741,0.908,"Upper East","Urban"
"94","Grimes",27851,3377,24,197,13,0.64,0.358,0.883,0.236,"Central Texas","Rural"
"95","Guadalupe",163666,23066,1148,1436,87,0.73,0.603,0.824,0.312,"Alamo","Urban"
"96","Hale",30506,8228,29,135,15,0.732,0.5,0.722,0.174,"High Plains","Rural"
"97","Hall",2723,544,4,0,0,0.723,0.5,0,0,"High Plains","Rural"
"98","Hamilton",7825,484,1,90,0,0.612,1,0.811,0,"Central Texas","Rural"
"99","Hansford",4888,986,0,0,0,0.566,0,0,0,"High Plains","Rural"
"100","Hardeman",3359,194,20,29,41,0.537,0.606,0.935,1,"Northwest","Rural"
"101","Hardin",53152,1190,65,157,0,0.571,0.442,0.913,0,"Southeast","Urban"
"102","Harris",4393352,843288,102753,107171,52639,0.543,0.511,0.758,0.735,"Gulf Coast","Urban"
"103","Harrison",65115,3511,137,152,133,0.599,0.646,0.724,0.806,"Upper East","Urban"
"104","Hartley",5077,586,2,100,0,0.69,1,0.943,0,"High Plains","Rural"
"105","Haskell",5196,640,4,3,0,0.648,1,0.214,0,"Northwest","Rural"
"106","Hays",230886,37574,1488,2904,401,0.7,0.72,0.802,0.384,"Capitol","Urban"
"107","Hemphill",3206,657,0,34,0,0.637,0,1,0,"High Plains","Rural"
"108","Henderson",78093,5071,151,262,5,0.693,0.438,0.578,1,"Upper East","Rural"
"109","Hidalgo",801757,405071,3632,2158,470,0.626,0.7,0.782,0.666,"South Texas","Urban"
"110","Hill",34081,3237,63,133,10,0.672,0.382,0.739,0.714,"Central Texas","Rural"
"111","Hockley",19988,4331,7,102,34,0.75,0.412,0.637,1,"High Plains","Urban"
"112","Hood",59244,3012,40,335,10,0.616,0.345,0.725,1,"Metroplex","Rural"
"113","Hopkins",34744,3108,65,254,8,0.634,0.374,1,0.5,"Upper East","Rural"
"114","Houston",21034,1329,70,20,21,0.712,0.722,1,1,"Southeast","Rural"
"115","Howard",32466,5704,138,169,72,0.664,0.896,0.621,0.783,"West Texas","Rural"
"116","Hudspeth",3204,1055,16,2,0,0.441,0.471,0.286,0,"Upper Rio Grande","Urban"
"117","Hunt",95291,6922,434,539,135,0.635,0.559,0.889,0.375,"Metroplex","Urban"
"118","Hutchinson",19379,2152,18,20,1,0.753,0.409,0.5,1,"High Plains","Rural"
"119","Irion",1515,307,0,0,0,0.972,0,0,0,"West Texas","Urban"
"120","Jack",8152,438,39,11,39,0.467,0.696,0.524,1,"Northwest","Rural"
"121","Jackson",14019,1641,29,79,0,0.602,0.547,0.693,0,"Alamo","Rural"
"122","Jasper",31087,640,82,179,2,0.48,0.612,0.605,1,"Southeast","Rural"
"123","Jeff Davis",1858,172,0,8,18,0.497,0,0.5,1,"Upper Rio Grande","Rural"
"124","Jefferson",237822,26146,3498,2483,444,0.606,0.58,0.673,0.666,"Southeast","Urban"
"125","Jim Hogg",4081,2176,53,0,0,0.897,1,0,0,"South Texas","Rural"
"126","Jim Wells",36397,13629,45,165,226,0.802,0.703,0.842,1,"South Texas","Rural"
"127","Johnson",171171,14904,982,569,457,0.602,0.521,0.626,0.793,"Metroplex","Urban"
"128","Jones",18987,2137,32,160,32,0.708,0.615,1,1,"Northwest","Urban"
"129","Karnes",14034,2267,52,121,6,0.64,0.308,0.665,0.158,"Alamo","Rural"
"130","Kaufman",139084,16438,806,951,1991,0.712,0.619,0.697,0.812,"Metroplex","Urban"
"131","Kendall",43340,3316,278,173,81,0.601,0.757,0.613,1,"Alamo","Urban"
"132","Kenedy",88,35,0,1,0,0.467,0,1,0,"South Texas","Rural"
"133","Kent",615,19,0,0,0,0.345,0,0,0,"Northwest","Rural"
"134","Kerr",50237,4621,111,181,115,0.691,0.782,0.73,1,"Alamo","Rural"
"135","Kimble",4078,492,0,0,14,0.716,0,0,0.737,"West Texas","Rural"
"136","King",202,25,0,0,0,0.532,0,0,0,"High Plains","Rural"
"137","Kinney",3022,906,0,0,0,0.8,0,0,0,"South Texas","Rural"
"138","Kleberg",28685,7702,434,72,90,0.78,0.914,0.385,0.647,"South Texas","Rural"
"139","Knox",3176,508,0,12,0,0.652,0,0.162,0,"Northwest","Rural"
"140","Lamar",46934,1847,233,572,154,0.694,0.67,0.654,0.471,"Upper East","Rural"
"141","Lamb",12129,3689,4,32,0,0.747,0.5,0.762,0,"High Plains","Rural"
"142","Lampasas",20763,1126,66,456,0,0.704,0.462,0.95,0,"Central Texas","Urban"
"143","La Salle",6753,3348,0,0,7,0.806,0,0,0.333,"South Texas","Rural"
"144","Lavaca",19204,1454,53,438,10,0.683,0.596,0.918,1,"Alamo","Rural"
"145","Lee",16445,1700,38,225,0,0.656,0.567,0.957,0,"Capitol","Rural"
"146","Leon",15095,1121,1,101,5,0.669,0.333,1,1,"Central Texas","Rural"
"147","Liberty",86674,13738,209,235,90,0.594,0.599,0.778,0.928,"Gulf Coast","Urban"
"148","Limestone",20925,2618,37,23,0,0.693,0.222,0.307,0,"Central Texas","Rural"
"149","Lipscomb",2823,423,6,4,0,0.551,1,1,0,"High Plains","Rural"
"150","Live Oak",10737,2195,126,136,25,0.775,0.708,0.932,0.893,"South Texas","Rural"
"151","Llano",20880,869,14,157,0,0.556,0.467,0.957,0,"Capitol","Rural"
"152","Loving",73,11,0,0,0,1,0,0,0,"West Texas","Rural"
"153","Lubbock",291818,39246,2895,1968,1638,0.78,0.661,0.706,0.731,"High Plains","Urban"
"154","Lynn",5251,890,4,25,7,0.711,0.364,0.61,1,"High Plains","Urban"
"155","McCulloch",7225,1356,8,49,0,0.758,1,0.942,0,"West Texas","Rural"
"156","McLennan",244156,18963,1451,1908,184,0.453,0.582,0.772,0.398,"Central Texas","Urban"
"157","McMullen",620,85,0,0,0,0.817,0,0,0,"South Texas","Rural"
"158","Madison",12750,1404,19,81,0,0.604,0.704,0.827,0,"Central Texas","Rural"
"159","Marion",9326,92,42,39,0,0.388,0.737,1,0,"Upper East","Rural"
"160","Martin",4895,997,0,160,0,0.652,0,0.856,0,"West Texas","Urban"
"161","Mason",3619,263,4,93,0,0.504,1,0.795,0,"West Texas","Rural"
"162","Matagorda",33585,6329,19,185,25,0.708,0.037,0.864,1,"Gulf Coast","Rural"
"163","Maverick",52723,26932,13,40,549,0.586,0.361,1,0.732,"South Texas","Urban"
"164","Medina",48542,8446,15,205,2,0.708,0.577,0.655,0.028,"Alamo","Urban"
"165","Menard",1888,329,0,0,0,0.715,0,0,0,"West Texas","Rural"
"166","Midland",155093,32304,1223,843,1151,0.685,0.522,0.84,0.733,"West Texas","Urban"
"167","Milam",23682,2171,63,57,14,0.561,0.708,0.891,1,"Central Texas","Rural"
"168","Mills",4405,583,3,28,0,0.854,0.6,1,0,"Central Texas","Rural"
"169","Mitchell",8390,1177,0,23,13,0.721,0,1,1,"Northwest","Rural"
"170","Montague",19145,1011,0,50,0,0.699,0,0.694,0,"Northwest","Rural"
"171","Montgomery",589724,72540,7472,10184,2613,0.651,0.707,0.817,0.838,"Gulf Coast","Urban"
"172","Moore",19366,4868,307,35,241,0.554,0.487,0.565,0.389,"High Plains","Rural"
"173","Morris",11442,718,47,40,88,0.748,0.485,0.741,0.62,"Upper East","Rural"
"174","Motley",1147,77,0,0,0,0.733,0,0,0,"High Plains","Rural"
"175","Nacogdoches",60831,5217,334,169,28,0.573,0.786,0.69,1,"Southeast","Rural"
"176","Navarro",49387,7073,336,108,59,0.614,0.42,0.8,1,"Metroplex","Rural"
"177","Newton",11756,13,4,139,0,0.542,0.133,1,0,"Southeast","Rural"
"178","Nolan",13636,2468,10,60,0,0.755,0.455,0.674,0,"Northwest","Rural"
"179","Nueces",331095,82664,3159,2197,503,0.79,0.673,0.835,0.766,"South Texas","Urban"
"180","Ochiltree",9168,2394,0,38,0,0.528,0,1,0,"High Plains","Rural"
"181","Oldham",2045,148,10,18,0,0.532,0.714,1,0,"High Plains","Urban"
"182","Orange",79222,2545,224,830,69,0.594,0.501,0.656,0.958,"Southeast","Urban"
"183","Palo Pinto",26879,2145,112,110,0,0.7,1,0.683,0,"Metroplex","Rural"
"184","Panola",21249,1051,150,82,5,0.678,0.794,1,1,"Upper East","Rural"
"185","Parker",142139,6756,668,632,31,0.633,0.784,0.75,0.443,"Metroplex","Urban"
"186","Parmer",9083,3008,0,52,1,0.634,0,0.693,1,"High Plains","Rural"
"187","Pecos",14101,5727,65,60,34,0.824,0.445,0.789,1,"West Texas","Rural"
"188","Polk",47988,4230,141,90,246,0.724,0.528,0.789,0.882,"Southeast","Rural"
"189","Potter",109629,18603,2484,248,1391,0.689,0.484,0.595,0.616,"High Plains","Urban"
"190","Presidio",5663,1930,1,0,0,0.459,0.5,0,0,"Upper Rio Grande","Rural"
"191","Rains",11719,193,12,17,32,0.362,0.169,0.531,1,"Upper East","Rural"
"192","Randall",132986,9877,649,1412,312,0.794,0.422,0.715,0.664,"High Plains","Urban"
"193","Reagan",3010,1099,39,0,0,0.717,0.549,0,0,"West Texas","Rural"
"194","Real",2668,267,0,0,0,0.765,0,0,0,"South Texas","Rural"
"195","Red River",10928,178,11,65,2,0.397,1,0.793,1,"Upper East","Rural"
"196","Reeves",13187,4615,72,0,0,0.679,0.533,0,0,"West Texas","Rural"
"197","Refugio",6341,1565,1,0,9,0.865,1,0,1,"South Texas","Rural"
"198","Roberts",745,2,0,12,0,0.222,0,1,0,"High Plains","Rural"
"199","Robertson",15850,1299,0,49,202,0.783,0,1,0.985,"Central Texas","Urban"
"200","Rockwall",103994,7766,1289,1326,478,0.715,0.727,0.718,0.821,"Metroplex","Urban"
"201","Runnels",9306,1445,0,59,1,0.748,0,1,1,"Northwest","Rural"
"202","Rusk",49838,4210,150,203,21,0.644,0.746,1,0.677,"Upper East","Urban"
"203","Sabine",9521,229,71,8,24,0.979,1,0.5,0.686,"Southeast","Rural"
"204","San Augustine",7633,289,0,9,0,0.548,0,1,0,"Southeast","Rural"
"205","San Jacinto",26322,2390,2,102,105,0.627,1,0.927,1,"Southeast","Urban"
"206","San Patricio",64306,16246,275,191,21,0.837,0.568,0.429,0.512,"South Texas","Urban"
"207","San Saba",5535,797,0,25,0,0.687,0,1,0,"Central Texas","Rural"
"208","Schleicher",2265,688,3,0,0,0.836,0.375,0,0,"West Texas","Rural"
"209","Scurry",15820,2665,48,18,0,0.705,0.558,1,0,"Northwest","Rural"
"210","Shackelford",2991,126,6,25,0,0.887,1,1,0,"Northwest","Rural"
"211","Shelby",22496,1957,31,33,0,0.576,0.585,1,0,"Southeast","Rural"
"212","Sherman",2273,600,5,0,0,0.673,1,0,0,"High Plains","Rural"
"213","Smith",219593,19415,1322,1058,1028,0.566,0.573,0.687,0.845,"Upper East","Urban"
"214","Somervell",8974,844,50,77,14,0.607,1,0.531,1,"Metroplex","Rural"
"215","Starr",59633,33098,29,2,1,0.61,0.853,1,1,"South Texas","Rural"
"216","Stephens",8722,684,8,14,16,0.473,0.25,0.483,1,"Northwest","Rural"
"217","Sterling",1266,224,0,0,0,0.818,0,0,0,"West Texas","Rural"
"218","Stonewall",1190,71,0,0,14,0.55,0,0,1,"Northwest","Rural"
"219","Sutton",3162,1262,10,0,0,0.735,1,0,0,"West Texas","Rural"
"220","Swisher",6577,1408,0,0,4,0.717,0,0,1,"High Plains","Rural"
"221","Tarrant",1975444,260216,36395,39826,28589,0.63,0.527,0.711,0.702,"Metroplex","Urban"
"222","Taylor",133107,14004,1405,1162,419,0.785,0.721,0.666,0.454,"Northwest","Urban"
"223","Terrell",851,274,0,0,0,0.854,0,0,0,"West Texas","Rural"
"224","Terry",10963,2842,11,207,8,0.748,1,0.41,1,"High Plains","Rural"
"225","Throckmorton",1322,35,3,8,0,0.714,0.5,0.4,0,"Northwest","Rural"
"226","Titus",29029,6120,29,106,0,0.584,0.115,0.809,0,"Upper East","Rural"
"227","Tom Green",111675,18804,360,905,152,0.748,0.462,0.899,0.697,"West Texas","Urban"
"228","Travis",1214982,161219,28854,32101,12663,0.628,0.635,0.797,0.712,"Capitol","Urban"
"229","Trinity",13077,690,60,200,0,0.563,1,1,0,"Southeast","Rural"
"230","Tyler",19188,595,35,117,0,0.574,0.393,0.696,0,"Southeast","Rural"
"231","Upshur",38896,1166,0,72,0,0.655,0,0.973,0,"Upper East","Urban"
"232","Upton",3180,997,5,0,0,0.847,0.294,0,0,"West Texas","Rural"
"233","Uvalde",23084,7975,146,87,0,0.722,0.749,0.916,0,"South Texas","Rural"
"234","Val Verde",43937,19066,90,116,0,0.671,0.738,1,0,"South Texas","Rural"
"235","Van Zandt",56554,3044,34,265,13,0.683,0.42,0.895,1,"Upper East","Rural"
"236","Victoria",85214,14906,436,328,84,0.778,0.49,0.794,0.808,"Alamo","Urban"
"237","Walker",74180,7041,481,377,917,0.68,0.718,0.938,0.722,"Gulf Coast","Rural"
"238","Waller",53917,7174,291,273,176,0.613,0.77,0.679,0.931,"Gulf Coast","Urban"
"239","Ward",10479,2618,18,1,0,0.737,0.254,1,0,"West Texas","Rural"
"240","Washington",33920,2768,104,234,6,0.69,0.812,0.975,1,"Central Texas","Rural"
"241","Webb",244692,119705,757,489,80,0.557,0.72,0.791,0.367,"South Texas","Urban"
"242","Wharton",38785,6649,29,183,0,0.656,0.5,0.893,0,"Gulf Coast","Rural"
"243","Wheeler",4680,441,11,13,18,0.519,0.647,1,1,"High Plains","Rural"
"244","Wichita",121630,8335,1166,892,710,0.704,0.639,0.701,0.909,"Northwest","Urban"
"245","Wilbarger",11953,1521,227,22,0,0.737,0.887,1,0,"Northwest","Rural"
"246","Willacy",19072,8780,3,0,0,0.743,1,0,0,"South Texas","Rural"
"247","Williamson",579812,55957,19784,17503,5112,0.691,0.699,0.767,0.8,"Capitol","Urban"
"248","Wilson",47567,6931,92,391,7,0.714,0.773,0.773,1,"Alamo","Urban"
"249","Winkler",7065,2305,0,0,0,0.706,0,0,0,"West Texas","Rural"
"250","Wise",65915,5946,278,369,13,0.59,0.757,0.874,0.684,"Metroplex","Urban"
"251","Wood",43270,1908,148,353,117,0.596,0.74,0.831,0.594,"Upper East","Rural"
"252","Yoakum",6955,2529,0,152,0,0.643,0,0.418,0,"High Plains","Rural"
"253","Young",16919,1090,75,46,23,0.46,0.701,1,1,"Northwest","Rural"
"254","Zapata",12762,6923,0,0,0,0.633,0,0,0,"South Texas","Rural"
"255","Zavala",9003,4898,0,0,0,0.768,0,0,0,"South Texas","Rural"
