"","County","Population_5_Years_Over","Spanish_Bilangual","Asian_Pacific_Bilangual","IndoEuro_Bilangual","Other_Bilangual","Percent_Spanish_Bilangual","Percent_Asian_Pacific_Bilangual","Percent_IndoEuro_Bilangual","Percent_Other_Bilangual","Region","Rural_Urban_Stat"
"1","Texas",27319920,4833485,493012,494041,223655,0.62,0.586,0.759,0.746,"State","State"
"2","Anderson",55103,4460,75,199,217,0.725,0.238,0.826,0.804,"Upper East","Rural"
"3","Andrews",16861,3924,30,20,73,0.601,1,1,0.961,"West Texas","Rural"
"4","Angelina",80974,9547,274,222,486,0.671,0.6,0.822,0.832,"Southeast","Rural"
"5","Aransas",22987,3089,108,180,9,0.839,0.278,1,0.75,"South Texas","Urban"
"6","Archer",8207,228,2,99,0,0.483,0.222,1,0,"Northwest","Urban"
"7","Armstrong",1796,96,2,0,2,0.744,1,0,1,"High Plains","Urban"
"8","Atascosa",45990,12102,89,257,71,0.674,0.864,0.959,0.486,"Alamo","Urban"
"9","Austin",28758,3819,111,660,7,0.681,0.793,0.899,0.778,"Gulf Coast","Urban"
"10","Bailey",6342,1978,72,57,0,0.539,1,0.814,0,"High Plains","Rural"
"11","Bandera",20450,1543,29,123,31,0.629,0.46,0.58,1,"Alamo","Urban"
"12","Bastrop",92071,18887,410,754,101,0.686,0.745,0.823,0.706,"Capitol","Urban"
"13","Baylor",3313,146,19,81,0,0.936,1,1,0,"Northwest","Rural"
"14","Bee",29393,7898,17,146,37,0.785,0.279,0.635,0.712,"South Texas","Rural"
"15","Bell",343227,35433,5079,5781,2067,0.718,0.667,0.862,0.819,"Central Texas","Urban"
"16","Bexar",1880365,451024,20932,20299,7798,0.705,0.612,0.703,0.661,"Alamo","Urban"
"17","Blanco",11184,591,138,127,1,0.644,0.831,1,1,"Capitol","Rural"
"18","Borden",626,25,0,3,0,0.893,0,1,0,"West Texas","Rural"
"19","Bosque",17465,1830,42,65,7,0.736,0.412,0.89,0.778,"Central Texas","Urban"
"20","Bowie",87049,2321,397,553,87,0.587,0.621,0.692,0.829,"Upper East","Urban"
"21","Brazoria",350384,49818,9547,4774,2782,0.71,0.567,0.772,0.901,"Gulf Coast","Urban"
"22","Brazos",221415,23082,5596,4626,1583,0.642,0.639,0.82,0.795,"Central Texas","Urban"
"23","Brewster",9005,1616,91,55,50,0.663,1,1,1,"Upper Rio Grande","Rural"
"24","Briscoe",1234,249,0,0,0,0.766,0,0,0,"High Plains","Rural"
"25","Brooks",6860,3980,70,0,0,0.858,1,0,0,"South Texas","Rural"
"26","Brown",36229,4661,33,87,18,0.798,0.295,0.509,1,"Northwest","Rural"
"27","Burleson",16961,1511,53,31,0,0.542,0.589,0.738,0,"Central Texas","Urban"
"28","Burnet",47269,3987,82,186,23,0.626,0.519,0.823,1,"Capitol","Rural"
"29","Caldwell",43282,9403,112,122,88,0.646,1,0.91,0.926,"Capitol","Urban"
"30","Calhoun",18873,2975,350,48,12,0.681,0.456,1,1,"Alamo","Rural"
"31","Callahan",13142,656,20,150,0,0.889,0.339,0.781,0,"Northwest","Urban"
"32","Cameron",390450,183452,904,998,289,0.67,0.506,0.815,0.997,"South Texas","Urban"
"33","Camp",11725,978,28,51,0,0.614,1,0.586,0,"Upper East","Rural"
