"","County","Total_Pop","Total_Below_Line","Total_Children_Below_Line","Only_English","Spanish","Asian_Pacific_Lang","Other_IndoEuro_Lang","Other_Lang","Region"
"95","Guadalupe",161672,13772,3729,2968,709,23,29,0,"Alamo"
"96","Hale",28210,5057,1626,1105,521,0,0,0,"High Plains"
"97","Hall",2671,503,163,85,78,0,0,0,"High Plains"
"98","Hamilton",7613,1273,151,113,38,0,0,0,"Central Texas"
"99","Hansford",4812,388,125,83,42,0,0,0,"High Plains"
"100","Hardeman",3350,365,66,66,0,0,0,0,"Northwest"
"101","Hardin",52396,6895,1461,1350,100,5,6,0,"Southeast"
"102","Harris",4349442,656307,202561,83446,107920,3026,3430,4739,"Gulf Coast"
"103","Harrison",63062,9732,2724,2026,698,0,0,0,"Upper East"
"104","Hartley",3611,270,94,82,12,0,0,0,"High Plains"
"105","Haskell",4928,720,58,51,7,0,0,0,"Northwest"
"106","Hays",223621,28761,4249,2560,1653,0,36,0,"Capitol"
"107","Hemphill",3157,183,78,5,73,0,0,0,"High Plains"
"108","Henderson",76703,10666,2721,2021,699,0,1,0,"Upper East"
"109","Hidalgo",792936,212043,76796,12629,63878,158,45,86,"South Texas"
"110","Hill",33097,4220,1114,829,285,0,0,0,"Central Texas"
"111","Hockley",19315,2795,697,490,207,0,0,0,"High Plains"
"112","Hood",58419,4878,892,584,289,2,17,0,"Metroplex"
"113","Hopkins",34128,4558,1195,1025,131,39,0,0,"Upper East"
"114","Houston",18092,3095,719,585,134,0,0,0,"Southeast"
"115","Howard",28575,4114,841,716,125,0,0,0,"West Texas"
"116","Hudspeth",2312,590,119,18,101,0,0,0,"Upper Rio Grande"
"117","Hunt",92415,10767,2684,1886,769,20,9,0,"Metroplex"
"118","Hutchinson",19188,1858,547,506,41,0,0,0,"High Plains"
"119","Irion",1515,109,14,14,0,0,0,0,"West Texas"
"120","Jack",7123,983,310,284,26,0,0,0,"Northwest"
"121","Jackson",13808,1573,292,149,143,0,0,0,"Alamo"
"122","Jasper",30097,6591,1819,1768,51,0,0,0,"Southeast"
"123","Jeff Davis",1817,480,115,115,0,0,0,0,"Upper Rio Grande"
"124","Jefferson",222671,38752,11342,7666,3387,211,47,31,"Southeast"
"125","Jim Hogg",4037,915,232,151,81,0,0,0,"South Texas"
"126","Jim Wells",35931,7985,3027,2130,897,0,0,0,"South Texas"
"127","Johnson",168244,17790,5207,3546,1598,0,22,41,"Metroplex"
"128","Jones",12791,1825,236,212,24,0,0,0,"Northwest"
"129","Karnes",10470,1899,555,463,92,0,0,0,"Alamo"
"130","Kaufman",137475,13112,3661,2765,871,0,0,25,"Metroplex"
"131","Kendall",42726,2145,535,473,62,0,0,0,"Alamo"
"132","Kenedy",88,3,0,0,0,0,0,0,"South Texas"
"133","Kent",558,46,0,0,0,0,0,0,"Northwest"
"134","Kerr",48468,5765,930,748,178,4,0,0,"Alamo"
"135","Kimble",4039,486,68,68,0,0,0,0,"West Texas"
"136","King",202,60,7,0,7,0,0,0,"High Plains"
"137","Kinney",2803,415,128,128,0,0,0,0,"South Texas"
"138","Kleberg",26989,7952,2222,2082,140,0,0,0,"South Texas"
"139","Knox",3046,349,80,49,31,0,0,0,"Northwest"
"140","Lamar",46242,7293,2128,1843,285,0,0,0,"Upper East"
"141","Lamb",11931,2135,614,356,258,0,0,0,"High Plains"
"142","Lampasas",20559,1953,340,285,49,0,6,0,"Central Texas"
"143","La Salle",5792,1643,504,359,145,0,0,0,"South Texas"
