Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!English only,Margin of Error!!Total!!English only,Estimate!!Total!!Spanish,Margin of Error!!Total!!Spanish,"Estimate!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other Indo-European languages,Margin of Error!!Total!!Other Indo-European languages,"Estimate!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Asian and Pacific Island languages,Margin of Error!!Total!!Asian and Pacific Island languages,"Estimate!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other languages,Margin of Error!!Total!!Other languages,"Estimate!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well"""""
0500000US48451,"Tom Green County, Texas",41796,628,30059,665,10705,436,1630,241,9075,484,602,176,105,111,497,136,366,117,115,86,251,120,64,45,0,30,64,45
0500000US48453,"Travis County, Texas",405406,1823,279739,1969,91945,1431,24613,968,67332,1606,14906,945,1388,316,13518,887,16167,714,3809,362,12358,687,2649,374,422,185,2227,341
0500000US48455,"Trinity County, Texas",4707,281,4459,250,216,68,31,18,185,64,3,6,0,20,3,6,29,31,6,9,23,29,0,20,0,20,0,20
0500000US48457,"Tyler County, Texas",8179,303,7630,313,414,168,101,116,313,116,98,59,0,24,98,59,34,47,0,24,34,47,3,5,0,24,3,5
0500000US48459,"Upshur County, Texas",14643,307,13714,287,643,126,130,70,513,112,161,77,0,27,161,77,71,51,0,27,71,51,54,61,0,27,54,61
0500000US48461,"Upton County, Texas",1179,77,702,69,477,62,100,36,377,54,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48463,"Uvalde County, Texas",8660,291,3582,271,4993,244,745,171,4248,275,57,45,0,24,57,45,28,35,0,24,28,35,0,24,0,24,0,24
0500000US48465,"Val Verde County, Texas",14903,418,3633,228,11103,409,2454,317,8649,377,44,44,0,27,44,44,117,76,0,27,117,76,6,13,6,13,0,27
0500000US48467,"Van Zandt County, Texas",19330,394,17842,399,1290,128,256,87,1034,143,110,56,0,30,110,56,44,28,0,30,44,28,44,42,0,30,44,42
0500000US48469,"Victoria County, Texas",31927,491,22206,479,8780,480,1104,227,7676,454,516,150,40,31,476,148,271,96,122,68,149,94,154,98,0,30,154,98
0500000US48471,"Walker County, Texas",20151,1261,18198,1168,1496,255,415,148,1081,238,224,100,18,31,206,93,159,108,23,35,136,110,74,64,11,17,63,58
0500000US48473,"Waller County, Texas",13492,410,10649,406,2566,192,648,176,1918,210,194,85,32,45,162,71,54,48,0,27,54,48,29,33,0,27,29,33
0500000US48475,"Ward County, Texas",3934,163,2336,163,1560,140,282,95,1278,150,18,19,0,20,18,19,13,24,0,20,13,24,7,11,0,20,7,11
0500000US48477,"Washington County, Texas",12279,416,10667,412,1197,230,238,119,959,199,348,131,48,38,300,122,67,42,12,18,55,42,0,27,0,27,0,27
0500000US48479,"Webb County, Texas",67003,683,3034,336,63421,726,24298,812,39123,903,135,71,0,30,135,71,399,98,67,57,332,102,14,16,0,30,14,16
0500000US48481,"Wharton County, Texas",14638,346,10559,385,3732,294,842,201,2890,265,291,88,23,22,268,92,25,31,16,26,9,16,31,48,31,48,0,27
0500000US48483,"Wheeler County, Texas",2354,106,1942,119,342,64,128,41,214,63,27,28,0,18,27,28,41,28,0,18,41,28,2,3,0,18,2,3
0500000US48485,"Wichita County, Texas",48135,666,42204,664,4411,293,914,203,3497,308,538,135,89,70,449,120,887,148,208,102,679,136,95,62,0,30,95,62
0500000US48487,"Wilbarger County, Texas",5125,246,4403,243,667,117,177,90,490,96,42,32,0,20,42,32,13,16,10,16,3,5,0,20,0,20,0,20
0500000US48489,"Willacy County, Texas",5382,254,2572,259,2781,285,779,178,2002,261,16,18,0,24,16,18,0,24,0,24,0,24,13,18,0,24,13,18
0500000US48491,"Williamson County, Texas",151352,1091,116759,1478,23596,891,3353,505,20243,872,5738,549,376,121,5362,542,4444,377,808,219,3636,385,815,231,78,62,737,216
0500000US48493,"Wilson County, Texas",15122,269,10478,331,4276,288,422,136,3854,290,287,92,43,33,244,84,66,65,0,27,66,65,15,17,7,11,8,14
0500000US48495,"Winkler County, Texas",2672,119,1443,120,1217,106,337,117,880,124,5,9,0,18,5,9,7,11,0,18,7,11,0,18,0,18,0,18
0500000US48497,"Wise County, Texas",20352,376,17635,380,2450,227,443,162,2007,235,178,76,21,26,157,64,60,31,0,30,60,31,29,26,0,30,29,26
0500000US48499,"Wood County, Texas",15904,453,14970,438,807,147,134,68,673,150,84,42,0,27,84,42,37,22,17,9,20,22,6,10,0,27,6,10
0500000US48501,"Yoakum County, Texas",2610,114,1371,131,1179,143,537,170,642,153,52,33,20,23,32,26,8,8,0,18,8,8,0,18,0,18,0,18
0500000US48503,"Young County, Texas",7209,270,6365,248,801,110,311,117,490,127,30,31,0,20,30,31,4,9,4,9,0,20,9,15,0,20,9,15
0500000US48505,"Zapata County, Texas",4357,304,366,61,3991,301,1318,263,2673,313,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0500000US48507,"Zavala County, Texas",3557,197,599,136,2958,202,1001,163,1957,197,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
