Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!English only,Margin of Error!!Total!!English only,Estimate!!Total!!Spanish,Margin of Error!!Total!!Spanish,"Estimate!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Spanish!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other Indo-European languages,Margin of Error!!Total!!Other Indo-European languages,"Estimate!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other Indo-European languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Asian and Pacific Island languages,Margin of Error!!Total!!Asian and Pacific Island languages,"Estimate!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Asian and Pacific Island languages!!At least one person 14 and over speaks English only or speaks English very well""""",Estimate!!Total!!Other languages,Margin of Error!!Total!!Other languages,"Estimate!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!No one 14 and over speaks English only or speaks English very well""""","Estimate!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well""""","Margin of Error!!Total!!Other languages!!At least one person 14 and over speaks English only or speaks English very well"""""
0500000US48107,"Crosby County, Texas",2195,110,1344,88,843,76,170,48,673,74,8,9,0,18,8,9,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48109,"Culberson County, Texas",854,134,228,81,607,116,104,57,503,102,15,23,0,13,15,23,0,13,0,13,0,13,4,7,0,13,4,7
0500000US48111,"Dallam County, Texas",2339,145,1662,135,605,145,190,102,415,124,62,53,23,27,39,39,10,13,3,3,7,13,0,18,0,18,0,18
0500000US48113,"Dallas County, Texas",849874,2374,548649,2542,236161,1936,75843,1585,160318,2155,24413,1066,3462,434,20951,987,29581,933,8885,603,20696,932,11070,855,2074,382,8996,709
0500000US48115,"Dawson County, Texas",4382,229,2565,205,1725,161,445,117,1280,153,92,54,6,7,86,54,0,20,0,20,0,20,0,20,0,20,0,20
0500000US48117,"Deaf Smith County, Texas",6268,172,2820,178,3338,192,889,161,2449,238,30,26,9,14,21,22,27,22,0,20,27,22,53,61,43,59,10,15
0500000US48119,"Delta County, Texas",1955,123,1891,120,55,36,33,30,22,20,6,11,0,18,6,11,0,18,0,18,0,18,3,5,0,18,3,5
0500000US48121,"Denton County, Texas",237732,1216,184126,1347,31992,799,7771,617,24221,895,9332,764,784,190,8548,738,10398,548,2552,441,7846,514,1884,279,60,40,1824,281
0500000US48123,"DeWitt County, Texas",6890,244,5297,210,1401,173,225,88,1176,159,164,59,4,6,160,61,15,18,0,24,15,18,13,24,0,24,13,24
0500000US48125,"Dickens County, Texas",875,76,768,74,107,33,23,13,84,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48127,"Dimmit County, Texas",3428,186,403,150,2986,226,920,171,2066,242,0,20,0,20,0,20,0,20,0,20,0,20,39,55,0,20,39,55
0500000US48129,"Donley County, Texas",1348,107,1254,108,65,25,8,8,57,25,26,21,0,13,26,21,3,4,1,3,2,4,0,13,0,13,0,13
0500000US48131,"Duval County, Texas",3843,232,583,152,3254,244,709,161,2545,246,0,20,0,20,0,20,6,11,0,20,6,11,0,20,0,20,0,20
0500000US48133,"Eastland County, Texas",7145,282,6599,275,511,110,98,80,413,93,24,22,0,20,24,22,11,20,0,20,11,20,0,20,0,20,0,20
0500000US48135,"Ector County, Texas",49065,550,27318,651,20780,499,3315,423,17465,607,497,174,40,48,457,169,351,102,50,38,301,111,119,82,26,31,93,74
0500000US48137,"Edwards County, Texas",854,91,443,78,411,69,74,38,337,69,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48139,"Ellis County, Texas",50327,540,40248,585,8993,417,2035,342,6958,421,613,123,38,32,575,122,349,86,30,38,319,86,124,57,8,15,116,54
0500000US48141,"El Paso County, Texas",252426,1315,53341,1268,191191,1519,49912,1547,141279,1909,4353,502,611,232,3742,474,2941,289,790,208,2151,255,600,157,64,71,536,149
0500000US48143,"Erath County, Texas",14223,346,11638,373,2341,199,408,146,1933,210,119,63,0,27,119,63,125,59,22,22,103,64,0,27,0,27,0,27
0500000US48145,"Falls County, Texas",5738,264,4912,242,710,83,190,64,520,87,81,48,2,4,79,48,35,37,24,32,11,17,0,20,0,20,0,20
0500000US48147,"Fannin County, Texas",11783,292,10905,294,721,143,164,90,557,125,97,50,0,27,97,50,60,35,3,5,57,36,0,27,0,27,0,27
0500000US48149,"Fayette County, Texas",10470,308,8449,273,1461,187,459,144,1002,184,560,119,41,30,519,112,0,24,0,24,0,24,0,24,0,24,0,24
0500000US48151,"Fisher County, Texas",1484,125,1121,115,348,58,35,19,313,57,15,12,0,13,15,12,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48153,"Floyd County, Texas",2598,115,1394,91,1195,105,248,75,947,110,9,15,0,18,9,15,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48155,"Foard County, Texas",535,78,468,76,54,34,9,11,45,33,10,15,0,13,10,15,3,5,0,13,3,5,0,13,0,13,0,13
0500000US48157,"Fort Bend County, Texas",184182,963,110835,1273,36350,908,6141,599,30209,968,13876,849,1340,286,12536,854,18677,754,4136,466,14541,799,4444,553,446,189,3998,545
0500000US48159,"Franklin County, Texas",4207,279,3706,239,460,120,125,82,335,110,16,28,0,20,16,28,25,39,25,39,0,20,0,20,0,20,0,20
0500000US48161,"Freestone County, Texas",7028,336,6366,293,579,141,180,98,399,146,64,49,18,28,46,42,12,20,12,20,0,20,7,12,7,12,0,20
0500000US48163,"Frio County, Texas",4831,242,1499,241,3316,278,553,155,2763,267,16,17,6,10,10,15,0,20,0,20,0,20,0,20,0,20,0,20
0500000US48165,"Gaines County, Texas",5402,206,2757,240,1401,159,393,126,1008,134,1171,219,375,164,796,212,73,65,29,54,44,49,0,20,0,20,0,20
0500000US48167,"Galveston County, Texas",109142,999,86817,1128,16650,665,2951,388,13699,666,3020,359,195,99,2825,342,2276,304,608,154,1668,292,379,132,15,17,364,131
0500000US48169,"Garza County, Texas",1659,453,1184,283,469,222,153,98,316,170,6,9,0,18,6,9,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48171,"Gillespie County, Texas",10694,321,7988,343,1498,195,353,138,1145,198,1167,196,80,50,1087,185,27,38,0,24,27,38,14,21,0,24,14,21
0500000US48173,"Glasscock County, Texas",431,49,338,50,93,46,33,28,60,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48175,"Goliad County, Texas",3056,162,2272,163,714,91,114,49,600,95,68,46,0,18,68,46,2,4,0,18,2,4,0,18,0,18,0,18
0500000US48177,"Gonzales County, Texas",6804,226,3888,192,2719,221,500,104,2219,217,182,74,12,16,170,73,12,16,0,24,12,16,3,5,0,24,3,5
0500000US48179,"Gray County, Texas",8465,237,6961,226,1362,148,321,119,1041,166,69,48,0,24,69,48,73,30,23,21,50,36,0,24,0,24,0,24
0500000US48181,"Grayson County, Texas",46600,636,42079,665,3407,243,882,187,2525,268,813,183,57,55,756,171,170,72,39,32,131,64,131,83,0,30,131,83
0500000US48183,"Gregg County, Texas",45083,577,38960,635,5181,336,1460,233,3721,359,446,145,61,60,385,136,412,108,28,26,384,105,84,56,8,12,76,56
0500000US48185,"Grimes County, Texas",8716,295,7321,279,1181,144,346,115,835,138,147,82,10,16,137,82,41,55,21,41,20,33,26,36,0,24,26,36
0500000US48187,"Guadalupe County, Texas",45411,513,30903,605,12462,534,1657,305,10805,538,1349,203,42,38,1307,199,639,112,71,48,568,113,58,41,0,30,58,41
0500000US48189,"Hale County, Texas",11709,372,6432,319,5184,266,869,175,4315,273,53,43,3,5,50,42,40,27,10,15,30,23,0,27,0,27,0,27
0500000US48191,"Hall County, Texas",1270,101,1024,82,214,58,58,26,156,56,24,23,0,13,24,23,3,6,0,13,3,6,5,9,0,13,5,9
0500000US48193,"Hamilton County, Texas",3081,180,2819,176,248,79,62,38,186,71,11,18,11,18,0,18,3,4,3,4,0,18,0,18,0,18,0,18
0500000US48195,"Hansford County, Texas",1918,99,1258,86,643,76,159,59,484,75,10,11,0,18,10,11,7,6,2,3,5,6,0,18,0,18,0,18
0500000US48197,"Hardeman County, Texas",1740,140,1477,157,242,81,61,40,181,72,0,13,0,13,0,13,21,30,0,13,21,30,0,13,0,13,0,13
0500000US48199,"Hardin County, Texas",20468,338,19507,344,737,138,85,59,652,138,131,66,14,18,117,66,82,25,46,20,36,28,11,18,0,30,11,18
0500000US48201,"Harris County, Texas",1412895,3943,845882,3632,433585,2823,142900,2501,290685,3502,52871,1745,6430,448,46441,1693,63063,1348,20524,925,42539,1418,17494,1118,3014,464,14480,1016
0500000US48203,"Harrison County, Texas",23147,499,21113,535,1652,188,485,155,1167,215,257,109,10,16,247,106,88,67,28,52,60,45,37,38,0,30,37,38
0500000US48205,"Hartley County, Texas",1717,118,1436,116,264,103,100,67,164,74,17,20,0,18,17,20,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48207,"Haskell County, Texas",2480,182,2057,132,410,130,89,45,321,124,13,11,0,18,13,11,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48209,"Hays County, Texas",54543,669,38447,787,13734,572,1577,286,12157,574,1537,314,28,26,1509,315,678,199,86,65,592,184,147,107,0,30,147,107
0500000US48211,"Hemphill County, Texas",1405,90,1116,110,284,76,118,67,166,56,5,7,0,13,5,7,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48213,"Henderson County, Texas",30311,573,27647,585,2361,198,314,120,2047,222,236,86,26,28,210,82,62,35,15,17,47,35,5,8,0,30,5,8
0500000US48215,"Hidalgo County, Texas",214396,1244,28217,949,182663,1461,44310,1216,138353,1725,1283,246,265,141,1018,231,1870,173,401,129,1469,179,363,168,0,30,363,168
0500000US48217,"Hill County, Texas",13503,356,11566,336,1653,155,454,104,1199,165,207,73,0,27,207,73,60,24,16,27,44,25,17,20,0,27,17,20
0500000US48219,"Hockley County, Texas",7978,214,5021,203,2878,198,347,138,2531,205,35,29,0,24,35,29,33,18,12,17,21,10,11,17,11,17,0,24
0500000US48221,"Hood County, Texas",20631,481,18675,492,1609,197,239,109,1370,183,205,97,0,30,205,97,142,80,17,26,125,80,0,30,0,30,0,30
0500000US48223,"Hopkins County, Texas",13262,250,11808,261,1306,118,404,131,902,130,82,39,10,17,72,33,50,21,10,14,40,20,16,25,0,27,16,25
0500000US48225,"Houston County, Texas",7883,292,7265,293,485,101,104,54,381,104,90,53,0,24,90,53,43,37,22,28,21,27,0,24,0,24,0,24
0500000US48227,"Howard County, Texas",11079,329,8634,318,2278,238,308,123,1970,223,91,61,0,27,91,61,67,26,16,21,51,31,9,17,0,27,9,17
0500000US48229,"Hudspeth County, Texas",1097,80,170,46,906,77,241,65,665,89,21,17,0,13,21,17,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48231,"Hunt County, Texas",30682,537,27271,567,2917,285,511,159,2406,254,308,131,4,7,304,131,116,66,26,37,90,53,70,53,11,20,59,52
0500000US48233,"Hutchinson County, Texas",8318,289,7005,282,1221,163,205,69,1016,167,32,22,0,24,32,22,60,29,6,8,54,29,0,24,0,24,0,24
0500000US48235,"Irion County, Texas",587,54,459,54,124,31,26,18,98,37,0,13,0,13,0,13,4,9,0,13,4,9,0,13,0,13,0,13
0500000US48237,"Jack County, Texas",3010,155,2736,150,240,70,38,34,202,77,26,20,0,18,26,20,8,14,8,14,0,18,0,18,0,18,0,18
0500000US48239,"Jackson County, Texas",5191,209,3934,203,1085,111,175,69,910,130,168,81,0,20,168,81,4,12,4,12,0,20,0,20,0,20,0,20
0500000US48241,"Jasper County, Texas",13722,315,12828,332,633,110,196,75,437,119,194,102,19,24,175,99,51,40,26,32,25,37,16,19,0,27,16,19
0500000US48243,"Jeff Davis County, Texas",879,118,469,120,402,80,18,14,384,81,8,11,0,13,8,11,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48245,"Jefferson County, Texas",92754,892,76578,884,11108,532,3559,487,7549,485,2660,339,273,120,2387,333,2133,253,457,161,1676,242,275,115,19,23,256,111
0500000US48247,"Jim Hogg County, Texas",1784,166,126,65,1640,177,294,106,1346,162,0,18,0,18,0,18,0,18,0,18,0,18,18,22,0,18,18,22
0500000US48249,"Jim Wells County, Texas",13515,357,4320,391,9091,408,1229,194,7862,436,72,47,0,27,72,47,19,32,19,32,0,27,13,21,0,27,13,21
0500000US48251,"Johnson County, Texas",51776,603,44536,648,6372,399,1277,251,5095,424,418,124,4,6,414,123,346,88,122,68,224,64,104,68,0,30,104,68
0500000US48253,"Jones County, Texas",5566,606,4555,524,960,181,119,64,841,164,23,21,5,8,18,20,23,26,0,20,23,26,5,9,0,20,5,9
0500000US48255,"Karnes County, Texas",4496,292,2443,191,1916,226,288,100,1628,197,137,39,15,14,122,37,0,20,0,20,0,20,0,20,0,20,0,20
0500000US48257,"Kaufman County, Texas",34597,447,29561,457,4385,318,1121,216,3264,326,368,152,7,13,361,152,224,108,48,53,176,92,59,48,0,30,59,48
0500000US48259,"Kendall County, Texas",12742,290,10229,402,2042,300,365,132,1677,286,378,130,0,27,378,130,93,76,36,61,57,44,0,27,0,27,0,27
0500000US48261,"Kenedy County, Texas",168,70,113,50,55,39,15,22,40,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48263,"Kent County, Texas",394,64,365,62,29,29,11,15,18,27,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48265,"Kerr County, Texas",20376,411,16458,349,3492,264,581,172,2911,275,313,121,74,64,239,110,108,59,10,20,98,63,5,7,0,27,5,7
0500000US48267,"Kimble County, Texas",1950,155,1537,135,411,90,74,47,337,83,2,3,2,3,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48269,"King County, Texas",103,27,95,26,4,6,0,13,4,6,4,6,4,6,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48271,"Kinney County, Texas",1185,114,543,121,532,110,71,43,461,104,58,60,0,13,58,60,52,63,12,19,40,59,0,13,0,13,0,13
0500000US48273,"Kleberg County, Texas",11024,348,4451,357,6182,320,933,212,5249,346,227,125,23,35,204,119,155,65,47,38,108,62,9,14,0,27,9,14
0500000US48275,"Knox County, Texas",1598,76,1199,63,385,56,93,32,292,56,14,13,4,6,10,11,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48277,"Lamar County, Texas",19260,374,17999,384,818,123,122,68,696,144,308,110,64,47,244,101,119,37,41,25,78,45,16,18,0,27,16,18
0500000US48279,"Lamb County, Texas",4890,187,2891,171,1990,152,479,104,1511,139,5,6,0,20,5,6,4,6,0,20,4,6,0,20,0,20,0,20
0500000US48281,"Lampasas County, Texas",7091,255,5935,277,840,146,110,64,730,146,218,70,10,15,208,71,80,43,12,19,68,48,18,20,12,18,6,10
0500000US48283,"La Salle County, Texas",1884,186,569,153,1304,162,308,111,996,139,0,18,0,18,0,18,11,18,0,18,11,18,0,18,0,18,0,18
0500000US48285,"Lavaca County, Texas",7879,242,6113,267,1133,153,257,102,876,151,616,117,31,21,585,119,17,14,5,10,12,12,0,20,0,20,0,20
0500000US48287,"Lee County, Texas",6026,253,4798,247,883,138,181,103,702,120,282,85,32,25,250,77,38,32,0,20,38,32,25,17,0,20,25,17
0500000US48289,"Leon County, Texas",6434,274,5961,281,451,94,152,70,299,79,22,28,2,7,20,27,0,20,0,20,0,20,0,20,0,20,0,20
0500000US48291,"Liberty County, Texas",24461,701,20681,590,3188,386,616,197,2572,340,508,188,69,53,439,175,69,56,0,30,69,56,15,27,0,30,15,27
0500000US48293,"Limestone County, Texas",7928,476,7016,361,814,213,381,118,433,148,70,37,14,17,56,32,22,14,15,11,7,12,6,10,0,24,6,10
0500000US48295,"Lipscomb County, Texas",1129,84,889,81,227,44,65,30,162,39,10,12,0,13,10,12,1,2,0,13,1,2,2,3,0,13,2,3
0500000US48297,"Live Oak County, Texas",3829,232,2620,201,1152,139,171,65,981,137,41,32,0,20,41,32,16,21,0,20,16,21,0,20,0,20,0,20
0500000US48299,"Llano County, Texas",8536,946,8031,885,450,111,101,69,349,120,41,29,3,4,38,28,14,27,0,20,14,27,0,20,0,20,0,20
0500000US48301,"Loving County, Texas",35,15,35,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48303,"Lubbock County, Texas",104791,864,77410,1090,23852,751,2561,367,21291,761,1649,243,99,70,1550,227,1372,204,419,141,953,181,508,249,53,46,455,240
0500000US48305,"Lynn County, Texas",2173,108,1310,104,817,71,186,50,631,76,45,24,32,24,13,9,0,18,0,18,0,18,1,2,0,18,1,2
0500000US48307,"McCulloch County, Texas",3053,174,2336,170,678,99,69,50,609,98,9,15,0,18,9,15,30,32,0,18,30,32,0,18,0,18,0,18
0500000US48309,"McLennan County, Texas",83966,794,67569,872,13673,528,3726,390,9947,510,1649,277,84,56,1565,275,856,137,318,107,538,129,219,104,43,48,176,93
0500000US48311,"McMullen County, Texas",289,54,159,51,130,44,16,14,114,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48313,"Madison County, Texas",3588,541,3257,282,291,313,49,118,242,207,22,28,0,20,22,28,14,20,0,20,14,20,4,7,0,20,4,7
0500000US48315,"Marion County, Texas",4620,204,4382,183,202,80,6,12,196,79,23,21,0,20,23,21,8,8,6,8,2,4,5,8,0,20,5,8
0500000US48317,"Martin County, Texas",1531,106,1092,101,411,80,94,36,317,79,26,14,12,10,14,10,0,18,0,18,0,18,2,3,0,18,2,3
0500000US48319,"Mason County, Texas",1690,121,1364,117,265,82,117,56,148,55,61,40,0,13,61,40,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48321,"Matagorda County, Texas",13338,447,9316,409,3654,349,673,203,2981,367,173,91,34,29,139,87,183,64,68,57,115,66,12,14,0,27,12,14
0500000US48323,"Maverick County, Texas",15448,305,552,138,14708,305,5469,447,9239,454,43,32,8,13,35,35,30,44,30,44,0,30,115,66,59,55,56,52
0500000US48325,"Medina County, Texas",15413,363,8687,338,6435,406,988,210,5447,398,241,129,0,27,241,129,50,53,0,27,50,53,0,27,0,27,0,27
0500000US48327,"Menard County, Texas",869,96,630,100,225,61,48,34,177,51,14,24,0,13,14,24,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48329,"Midland County, Texas",49898,507,33420,502,15061,479,2864,350,12197,548,839,211,33,34,806,207,388,89,146,65,242,87,190,97,0,30,190,97
0500000US48331,"Milam County, Texas",9398,319,7820,312,1366,161,334,110,1032,149,181,71,0,24,181,71,31,50,0,24,31,50,0,24,0,24,0,24
0500000US48333,"Mills County, Texas",1855,116,1636,112,201,58,35,34,166,49,14,15,0,13,14,15,0,13,0,13,0,13,4,7,0,13,4,7
0500000US48335,"Mitchell County, Texas",2747,222,1859,186,865,212,124,55,741,199,23,39,0,18,23,39,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48337,"Montague County, Texas",8058,287,7284,292,673,128,57,40,616,125,68,38,0,20,68,38,17,26,0,20,17,26,16,24,0,20,16,24
0500000US48339,"Montgomery County, Texas",160190,1308,130194,1414,23152,689,6060,539,17092,769,3589,460,183,61,3406,466,2599,342,573,168,2026,302,656,194,46,52,610,179
0500000US48341,"Moore County, Texas",6799,235,3522,175,2868,205,823,175,2045,220,138,65,0,24,138,65,207,81,166,83,41,31,64,34,32,29,32,28
0500000US48343,"Morris County, Texas",5028,214,4753,208,249,57,79,38,170,67,9,8,0,20,9,8,6,10,6,10,0,20,11,21,0,20,11,21
0500000US48345,"Motley County, Texas",457,53,411,48,45,23,0,13,45,23,0,13,0,13,0,13,1,2,0,13,1,2,0,13,0,13,0,13
0500000US48347,"Nacogdoches County, Texas",23247,474,20182,478,2591,249,728,157,1863,249,174,80,24,26,150,75,223,59,58,58,165,62,77,58,43,48,34,30
0500000US48349,"Navarro County, Texas",17441,358,14276,354,2894,172,1077,189,1817,221,139,73,4,7,135,75,132,54,18,25,114,63,0,27,0,27,0,27
0500000US48351,"Newton County, Texas",5185,240,4971,246,92,83,10,12,82,82,72,45,9,14,63,43,43,42,5,8,38,43,7,13,0,20,7,13
0500000US48353,"Nolan County, Texas",5709,248,4249,219,1421,160,188,77,1233,149,25,21,0,20,25,21,7,13,0,20,7,13,7,13,0,20,7,13
0500000US48355,"Nueces County, Texas",122305,1092,60961,1124,56719,1186,8533,638,48186,1263,2291,381,163,77,2128,356,2029,238,359,130,1670,255,305,116,0,30,305,116
0500000US48357,"Ochiltree County, Texas",3732,117,2229,142,1478,131,513,128,965,143,12,21,0,20,12,21,13,12,4,6,9,10,0,20,0,20,0,20
0500000US48359,"Oldham County, Texas",727,84,665,76,52,28,7,9,45,26,10,7,0,13,10,7,0,13,0,13,0,13,0,13,0,13,0,13
0500000US48361,"Orange County, Texas",31105,499,28429,557,1679,278,246,163,1433,279,662,159,54,42,608,148,302,76,103,66,199,77,33,39,0,30,33,39
0500000US48363,"Palo Pinto County, Texas",10556,305,9124,336,1202,151,341,79,861,155,191,102,8,13,183,101,29,27,19,21,10,15,10,13,0,24,10,13
0500000US48365,"Panola County, Texas",8870,318,8381,313,438,116,114,68,324,108,18,22,0,24,18,22,33,43,0,24,33,43,0,24,0,24,0,24
0500000US48367,"Parker County, Texas",41640,535,37373,593,3483,319,549,168,2934,295,433,133,0,30,433,133,187,70,25,23,162,70,164,69,0,30,164,69
0500000US48369,"Parmer County, Texas",3299,108,1721,113,1553,112,439,94,1114,127,22,16,0,20,22,16,3,5,0,20,3,5,0,20,0,20,0,20
0500000US48371,"Pecos County, Texas",4745,184,1750,198,2957,197,616,126,2341,222,38,48,38,48,0,20,0,20,0,20,0,20,0,20,0,20,0,20
0500000US48373,"Polk County, Texas",17038,587,15108,505,1464,340,331,126,1133,305,264,123,0,27,264,123,63,54,24,31,39,46,139,50,14,13,125,50
0500000US48375,"Potter County, Texas",42430,513,30468,553,10091,451,2293,339,7798,410,420,110,38,33,382,110,1104,150,484,104,620,141,347,140,169,100,178,92
0500000US48377,"Presidio County, Texas",2654,198,493,113,2107,201,786,156,1321,194,54,53,0,18,54,53,0,18,0,18,0,18,0,18,0,18,0,18
0500000US48379,"Rains County, Texas",4256,231,3986,233,240,78,25,38,215,78,16,15,5,6,11,13,10,9,0,20,10,9,4,6,0,20,4,6
0500000US48381,"Randall County, Texas",47312,605,41162,617,4699,384,470,144,4229,383,648,146,105,77,543,144,585,103,228,77,357,102,218,96,19,21,199,90
0500000US48383,"Reagan County, Texas",1172,75,581,83,586,70,163,57,423,78,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13,5,8
0500000US48385,"Real County, Texas",1218,129,983,127,229,66,33,28,196,53,0,13,0,13,0,13,6,9,6,9,0,13,0,13,0,13,0,13
0500000US48387,"Red River County, Texas",4945,228,4649,242,226,102,119,113,107,40,56,50,3,6,53,50,5,9,0,20,5,9,9,10,0,20,9,10
0500000US48389,"Reeves County, Texas",3474,201,1146,134,2313,171,517,91,1796,158,15,20,0,20,15,20,0,20,0,20,0,20,0,20,0,20,0,20
0500000US48391,"Refugio County, Texas",2784,141,1775,143,946,99,122,50,824,100,27,20,8,10,19,20,33,36,0,18,33,36,3,4,0,18,3,4
