Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Income in the past 12 months below poverty level,Margin of Error!!Total!!Income in the past 12 months below poverty level,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak only English,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak only English,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Spanish,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!5 to 17 years!!Speak other languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak only English,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak only English,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Spanish,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months below poverty level!!18 years and over!!Speak other languages,Estimate!!Total!!Income in the past 12 months at or above poverty level,Margin of Error!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak only English,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak only English,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Spanish,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!5 to 17 years!!Speak other languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak only English,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak only English,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Spanish,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Spanish,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other Indo-European languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other Indo-European languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak Asian and Pacific Island languages,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other languages,Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!18 years and over!!Speak other languages
0500000US48445,"Terry County, Texas",10426,180,1528,376,257,118,88,57,57,64,112,101,0,20,0,20,1271,328,803,208,411,205,57,59,0,20,0,20,8898,370,1902,123,1359,199,415,161,128,90,0,20,0,20,6996,338,4299,272,2440,307,246,120,0,20,11,18
0500000US48447,"Throckmorton County, Texas",1541,130,145,51,41,22,34,19,7,9,0,13,0,13,0,13,104,40,78,29,26,27,0,13,0,13,0,13,1396,132,191,45,184,46,7,9,0,13,0,13,0,13,1205,107,1157,105,42,27,3,4,0,13,3,4
0500000US48449,"Titus County, Texas",28542,176,5312,769,1756,350,519,223,1227,294,5,8,5,9,0,27,3556,493,1698,235,1845,420,13,20,0,27,0,27,23230,789,4895,362,3190,237,1674,360,6,11,25,22,0,27,18335,504,13038,319,5053,470,111,52,130,46,3,5
0500000US48451,"Tom Green County, Texas",97387,846,14824,1270,3822,569,2895,546,888,369,0,30,39,43,0,30,11002,934,7254,720,3404,490,279,325,65,58,0,30,82563,1231,14292,554,11721,528,2481,408,28,50,22,41,40,68,68271,1016,51233,1106,15958,751,594,190,403,117,83,72
0500000US48453,"Travis County, Texas",939748,1287,157586,4606,38506,1667,15556,1197,21970,1562,520,212,418,201,42,51,119080,3697,65471,2353,44488,2440,3239,546,4945,695,937,415,782162,4575,130024,1696,94211,1542,28269,1386,2464,403,4194,514,886,348,652138,3707,467515,3190,135340,2639,20331,1511,25257,1158,3695,610
0500000US48455,"Trinity County, Texas",13509,144,2115,455,582,221,560,209,22,36,0,20,0,20,0,20,1533,321,1406,282,127,117,0,20,0,20,0,20,11394,473,1792,273,1530,264,262,95,0,20,0,20,0,20,9602,324,9132,300,435,142,5,8,30,30,0,20
0500000US48457,"Tyler County, Texas",18342,299,3384,627,815,266,698,241,117,98,0,24,0,24,0,24,2569,432,2381,395,169,158,12,19,7,11,0,24,14958,687,2268,312,2164,332,45,41,59,72,0,24,0,24,12690,460,12232,469,323,166,96,54,36,52,3,5
0500000US48459,"Upshur County, Texas",36178,175,4911,870,1546,476,1444,461,59,57,11,18,32,44,0,27,3365,486,3210,471,130,95,11,17,14,18,0,27,31267,876,5623,467,5460,458,133,68,30,38,0,27,0,27,25644,520,24178,585,954,158,209,108,172,177,131,177
0500000US48461,"Upton County, Texas",2929,43,447,133,111,63,31,22,80,54,0,13,0,13,0,13,336,90,169,62,167,63,0,13,0,13,0,13,2482,138,513,80,326,65,184,74,3,6,0,13,0,13,1969,103,1295,108,674,104,0,13,0,13,0,13
0500000US48463,"Uvalde County, Texas",23771,190,6400,889,2153,422,1019,350,1134,330,0,24,0,24,0,24,4247,604,1172,323,3070,512,5,10,0,24,0,24,17371,903,3341,422,2065,354,1245,313,22,31,9,14,0,24,14030,621,6601,460,7293,593,101,80,35,39,0,24
0500000US48465,"Val Verde County, Texas",43294,233,8543,1030,2875,493,554,227,2311,477,0,27,10,20,0,27,5668,719,792,215,4846,676,0,27,30,42,0,27,34751,1028,7381,497,2898,458,4407,547,0,27,53,56,23,37,27370,717,7267,417,19921,724,74,67,96,47,12,26
0500000US48467,"Van Zandt County, Texas",48562,162,7935,818,2241,395,1685,349,550,212,6,10,0,30,0,30,5694,560,4971,529,668,210,28,45,11,17,16,28,40627,832,7141,397,6649,372,455,148,37,48,0,30,0,30,33486,574,31535,581,1735,208,92,56,96,61,28,32
0500000US48469,"Victoria County, Texas",79338,295,12377,1311,3822,571,3103,543,643,239,76,68,0,30,0,30,8555,883,5316,679,3076,515,97,85,37,54,29,44,66961,1315,12493,605,10688,559,1623,355,72,58,110,76,0,30,54468,858,40599,879,12721,746,527,195,430,154,191,155
0500000US48471,"Walker County, Texas",43477,2606,9478,1373,1702,379,897,272,805,277,0,30,0,30,0,30,7776,1176,6715,1001,869,342,47,53,87,87,58,84,33999,2070,6081,400,5208,380,804,220,40,37,10,16,19,26,27918,1968,25873,1707,1710,464,205,105,114,123,16,29
0500000US48473,"Waller County, Texas",37551,1004,6563,1134,1834,443,831,326,1003,296,0,27,0,27,0,27,4729,883,3426,789,1258,357,0,27,37,65,8,16,30988,1085,5558,439,4072,439,1471,286,15,17,0,27,0,27,25430,838,20214,751,4821,460,318,167,56,54,21,27
0500000US48475,"Ward County, Texas",9661,49,2113,401,687,178,453,152,234,132,0,20,0,20,0,20,1426,298,653,216,773,184,0,20,0,20,0,20,7548,414,1435,186,1143,180,292,108,0,20,0,20,0,20,6113,303,4031,287,2044,232,18,19,13,24,7,11
0500000US48477,"Washington County, Texas",30026,230,4016,729,839,282,613,273,226,215,0,27,0,27,0,27,3177,542,2725,487,386,221,26,36,37,40,3,6,26010,740,4506,292,3863,270,517,151,73,65,53,45,0,27,21504,578,18997,606,1902,367,483,205,122,105,0,27
0500000US48479,"Webb County, Texas",222019,654,64164,3145,24474,1389,1054,295,23357,1389,0,30,39,51,24,29,39690,2050,1724,362,37946,1984,13,17,1,2,6,9,157855,3254,37496,1362,6287,792,31050,1278,24,31,135,64,0,30,120359,2159,8545,809,110458,2126,348,227,999,305,9,14
0500000US48481,"Wharton County, Texas",37582,162,6564,846,2020,362,1410,315,610,276,0,27,0,27,0,27,4544,587,2565,440,1869,502,87,59,23,21,0,27,31018,844,5849,365,4403,382,1431,327,15,23,0,27,0,27,25169,588,18794,509,5979,514,330,115,35,45,31,48
0500000US48483,"Wheeler County, Texas",4909,78,624,155,139,80,11,14,124,77,0,18,0,18,4,11,485,116,347,106,132,65,0,18,0,18,6,9,4285,182,787,85,607,73,176,73,4,6,0,18,0,18,3498,139,3004,158,433,91,12,14,49,33,0,18
0500000US48485,"Wichita County, Texas",110135,825,14505,1099,3556,525,2759,482,740,340,0,30,57,82,0,30,10949,826,9061,769,1502,305,119,81,231,164,36,42,95630,1155,17571,550,15486,514,1655,337,120,77,267,136,43,66,78059,1043,69236,1008,6597,437,658,187,1484,270,84,73
0500000US48487,"Wilbarger County, Texas",11948,166,2292,421,512,134,363,120,149,86,0,20,0,20,0,20,1780,324,1283,278,483,178,0,20,14,16,0,20,9656,430,1854,150,1779,152,72,62,0,20,3,4,0,20,7802,320,6893,344,834,172,52,38,23,33,0,20
0500000US48489,"Willacy County, Texas",18320,349,6948,824,2024,333,1473,307,496,195,0,24,0,24,55,75,4924,622,2453,463,2435,437,9,15,0,24,27,37,11372,828,2344,304,1789,309,555,150,0,24,0,24,0,24,9028,653,4510,599,4407,588,13,22,98,98,0,24
0500000US48491,"Williamson County, Texas",388858,540,25063,1710,7093,811,4910,747,1708,384,177,122,193,115,105,154,17970,1202,11985,995,4911,810,325,164,566,216,183,179,363795,1767,80140,853,66366,1312,10168,982,1795,392,1550,335,261,154,283655,1227,227162,2064,38635,1370,8752,867,7818,644,1288,351
0500000US48493,"Wilson County, Texas",39791,199,4099,688,1250,354,892,320,358,197,0,27,0,27,0,27,2849,410,1651,328,1140,274,58,49,0,27,0,27,35692,716,7314,380,6440,382,874,211,0,27,0,27,0,27,28378,429,21623,506,6270,403,327,97,145,128,13,15
0500000US48495,"Winkler County, Texas",6363,82,981,254,276,130,179,98,97,77,0,18,0,18,0,18,705,162,312,110,393,127,0,18,0,18,0,18,5382,256,1209,130,715,139,481,139,0,18,13,25,0,18,4173,171,2443,189,1711,183,5,9,14,22,0,18
0500000US48497,"Wise County, Texas",54314,263,5548,889,1572,415,940,285,632,282,0,30,0,30,0,30,3976,578,3086,452,846,309,27,35,0,30,17,21,48766,863,9657,429,8141,370,1503,344,13,19,0,30,0,30,39109,589,34529,562,4283,462,211,84,60,35,26,30
0500000US48499,"Wood County, Texas",37899,315,5645,625,1406,278,1122,272,248,135,18,23,18,25,0,27,4239,463,3806,439,332,151,12,21,89,39,0,27,32254,710,4880,296,4461,309,393,161,0,27,26,30,0,27,27374,537,26019,570,1220,221,92,55,35,36,8,13
0500000US48501,"Yoakum County, Texas",7128,43,770,302,269,158,142,98,105,113,22,35,0,18,0,18,501,175,238,98,232,124,31,47,0,18,0,18,6358,302,1556,152,723,156,805,172,14,17,14,22,0,18,4802,183,2317,239,2386,199,79,56,20,18,0,18
0500000US48503,"Young County, Texas",16947,84,2270,519,626,250,539,242,87,82,0,20,0,20,0,20,1644,355,1455,332,171,90,10,18,8,18,0,20,14677,523,2595,253,2279,240,310,131,6,10,0,20,0,20,12082,366,10588,367,1451,160,20,26,0,20,23,31
0500000US48505,"Zapata County, Texas",12375,94,3872,709,1409,355,263,182,1146,307,0,20,0,20,0,20,2463,437,252,136,2211,402,0,20,0,20,0,20,8503,718,1773,344,424,132,1349,326,0,20,0,20,0,20,6730,454,692,124,6038,471,0,20,0,20,0,20
0500000US48507,"Zavala County, Texas",10274,135,3568,567,1336,322,440,193,896,285,0,20,0,20,0,20,2232,387,401,173,1831,377,0,20,0,20,0,20,6706,574,1302,326,687,222,615,288,0,20,0,20,0,20,5404,390,855,225,4549,430,0,20,0,20,0,20
